key	year	stage	contribution	evidence	setting	rq_core
doi:10.1007/s41669-024-00476-9	2024	end2end	evaluation	human-agree	med	yes
doi:10.1016/j.accre.2025.03.013	2025	extract	system	none	general	no
doi:10.1016/j.ijmedinf.2025.106035	2025	screen	method	benchmark	med	yes
doi:10.1016/j.jbi.2024.104640	2024	meta	position	none	med	no
doi:10.1016/j.jclinepi.2025.111746	2025	meta	position	none	med	no
doi:10.1016/j.jval.2025.04.1193	2025	meta	evaluation	none	med	no
doi:10.1016/j.jval.2025.08.002	2025	end2end	system	none	med	no
doi:10.1016/j.jval.2025.09.2953	2025	end2end	system	none	med	no
doi:10.1016/j.jval.2025.09.3033	2025	screen	evaluation	none	med	no
doi:10.1016/j.jval.2026.03.1578	2026	end2end	system	human-agree	med	yes
doi:10.1016/j.smrv.2025.102192	2025	extract	evaluation	human-agree	med	yes
doi:10.1016/j.tox.2024.153933	2024	extract	evaluation	human-agree	general	yes
doi:10.1016/j.tree.2024.04.007	2024	meta	position	none	general	no
doi:10.1017/rsm.2025.10014	2025	screen	evaluation	human-agree	med	yes
doi:10.1017/rsm.2025.10065	2026	meta	position	none	general	no
doi:10.1038/s41746-025-01457-w	2025	extract	evaluation	human-agree	med	yes
doi:10.1038/s41746-025-01840-7	2025	end2end	system	human-agree	med	yes
doi:10.1038/s41746-025-02273-y	2025	end2end	system	human-agree	med	yes
doi:10.1073/pnas.2411962122	2025	screen	evaluation	human-agree	med	yes
doi:10.1093/ehjdh/ztag070	2026	screen	system	human-agree	med	yes
doi:10.1093/jamia/ocae325	2025	extract	method	human-agree	med	yes
doi:10.1093/jamia/ocaf050	2025	screen	evaluation	human-agree	med	yes
doi:10.1093/jamia/ocaf063	2025	meta	position	none	med	no
doi:10.1097/js9.0000000000002215	2025	extract	method	human-agree	med	yes
doi:10.1101/2023.10.02.23296415	2023	extract	evaluation	human-agree	med	yes
doi:10.1101/2023.12.15.23300018	2023	screen	evaluation	human-agree	med	yes
doi:10.1101/2023.12.29.23300652	2023	screen	evaluation	none	med	yes
doi:10.1101/2024.02.20.24303083	2024	extract	evaluation	human-agree	med	yes
doi:10.1101/2024.06.03.24308405	2024	screen	evaluation	human-agree	med	yes
doi:10.1101/2024.06.26.24309513	2024	screen	evaluation	none	med	yes
doi:10.1101/2024.09.20.24314108	2024	extract	method	human-agree	med	yes
doi:10.1101/2025.06.13.25329541	2025	end2end	system	human-agree	med	yes
doi:10.1101/2025.08.11.25333429	2025	screen	method	human-agree	general	yes
doi:10.1109/fllm67465.2025.11391146	2025	screen	method	human-agree	general	yes
doi:10.1109/jcdl67857.2025.00042	2025	screen	method	benchmark	general	yes
doi:10.1109/sami68106.2026.11420686	2026	screen	evaluation	human-agree	general	yes
doi:10.1111/cobi.14464	2025	meta	position	none	general	no
doi:10.1115/detc2023-116962	2023	screen	system	none	general	no
doi:10.1136/bmjdhai-2025-000017	2025	meta	guideline	none	med	no
doi:10.1136/bmjebm-2024-113199	2024	extract	position	none	med	yes
doi:10.1136/bmjment-2025-301762	2025	screen	evaluation	human-agree	med	yes
doi:10.1145/3715964	2025	synthesize	method	benchmark	general	no
doi:10.1186/s12874-025-02532-2	2025	synthesize	evaluation	human-agree	general	yes
doi:10.1186/s12874-025-02644-9	2025	screen	evaluation	human-agree	general	yes
doi:10.1186/s13643-023-02243-z	2023	meta	position	none	general	no
doi:10.1186/s13643-024-02575-4	2024	screen	evaluation	human-agree	med	yes
doi:10.1186/s13643-024-02666-2	2024	meta	guideline	none	general	yes
doi:10.1186/s13643-025-02842-y	2026	meta	position	none	general	no
doi:10.1186/s13643-026-03199-6	2026	screen	evaluation	human-agree	general	yes
doi:10.1186/s13750-025-00360-x	2025	screen	evaluation	human-agree	general	yes
doi:10.1186/s40634-023-00662-4	2023	meta	position	none	med	no
doi:10.1200/jco.2025.43.16_suppl.e13657	2025	extract	system	human-agree	med	yes
doi:10.12688/f1000research.51117.3	2025	meta	position	none	general	no
doi:10.14264/01498af	2026	screen	evaluation	none	general	no
doi:10.17526v2	2023	end2end	evaluation	human-agree	general	yes
doi:10.17605/osf.io/g2d4n	2026	screen	evaluation	human-agree	med	yes
doi:10.18653/v1/2024.climatenlp-1.20	2024	synthesize	evaluation	human-agree	general	yes
doi:10.2139/ssrn.4797024	2024	extract	evaluation	benchmark	med	yes
doi:10.2139/ssrn.4870368	2024	extract	method	human-agree	med	yes
doi:10.2139/ssrn.4943759	2024	screen	evaluation	human-agree	med	yes
doi:10.2139/ssrn.5760724	2025	screen	method	benchmark	general	yes
doi:10.2196/48996	2023	screen	evaluation	human-agree	med	yes
doi:10.2196/53164	2024	search	evaluation	human-agree	med	yes
doi:10.2196/56780	2024	meta	guideline	none	med	yes
doi:10.2196/58366	2025	screen	evaluation	human-agree	med	yes
doi:10.2196/64682	2025	screen	evaluation	human-agree	med	yes
doi:10.2196/67488	2025	screen	evaluation	human-agree	med	yes
doi:10.2196/68097	2025	extract	evaluation	human-agree	med	yes
doi:10.22038/abjs.2025.84896.3874	2025	end2end	evaluation	human-agree	med	yes
doi:10.24252/instek.v10i1.57445	2025	screen	evaluation	benchmark	general	no
doi:10.3233/shti251264	2025	screen	evaluation	human-agree	med	yes
doi:10.3389/frai.2025.1662202	2025	end2end	evaluation	human-agree	med	yes
doi:10.3390/a18050296	2025	extract	evaluation	benchmark	med	yes
doi:10.3390/biomedinformatics5010015	2025	screen	guideline	none	med	no
doi:10.3390/fi16050167	2024	end2end	method	none	general	no
doi:10.3390/info16050378	2025	screen	guideline	none	med	no
doi:10.3390/jcm15114230	2026	extract	evaluation	benchmark	med	yes
doi:10.3390/make7020028	2025	screen	method	benchmark	general	no
doi:10.35542/osf.io/wn3cd	2024	extract	system	benchmark	general	no
doi:10.5334/jors.730	2026	screen	system	none	general	no
doi:10.64898/2026.01.07.26343635	2026	screen	method	benchmark	general	yes
doi:10.64898/2026.04.06.716861	2026	screen	method	none	med	no
doi:10.64898/2026.07.29.741127	2026	screen	method	human-agree	general	yes
doi:10.64898/2026.07.30.26359375	2026	end2end	system	none	med	no
doi:10.7326/annals-24-02189	2025	screen	method	human-agree	med	yes
doi:10.7326/annals-25-00739	2025	extract	evaluation	human-agree	med	yes
doi:10.7759/cureus.43023	2023	appraise	position	none	med	no
doi:10.7759/cureus.90026	2025	screen	evaluation	human-agree	med	yes
doi:10.1016/j.jclinepi.2020.01.008	2020	end2end	evaluation	none	med	no
doi:10.1145/3366423.3380185	2020	search	method	benchmark	general	no
doi:10.1007/s10791-020-09381-1	2020	search	evaluation	benchmark	general	no
doi:10.1007/s11192-020-03648-6	2020	screen	method	benchmark	med	no
doi:10.52591/lxai202012126	2020	screen	method	benchmark	med	no
doi:10.1016/j.jclinepi.2020.11.003	2020	screen	method	human-agree	med	yes
doi:10.1016/j.envint.2020.105623	2020	screen	system	human-agree	med	yes
doi:10.1016/j.jclinepi.2020.09.024	2020	screen	evaluation	human-agree	med	yes
doi:10.1002/cl2.1129	2020	meta	position	none	general	no
doi:10.1186/s13643-020-01351-4	2020	meta	position	none	general	no
doi:10.2196/20007	2020	synthesize	method	human-agree	med	no
doi:10.24963/kr.2020/68	2020	synthesize	position	none	general	no
doi:10.1186/s13643-020-01324-7	2020	screen	evaluation	human-agree	med	yes
doi:10.1007/978-3-030-50420-5_32	2020	end2end	system	none	general	no
doi:10.1186/s13643-020-01521-4	2020	screen	method	human-agree	med	yes
doi:10.12688/f1000research.22781.1	2020	extract	position	none	med	no
doi:10.1016/j.eswax.2020.100030	2020	screen	method	benchmark	general	no
doi:10.1186/s12874-020-01031-w	2020	screen	evaluation	human-agree	med	yes
doi:10.1186/s12874-020-01129-1	2020	screen	evaluation	human-agree	med	yes
doi:10.1186/s13643-020-01450-2	2020	screen	evaluation	human-agree	med	yes
doi:10.1080/17437199.2020.1716198	2020	meta	position	none	med	no
doi:10.1016/j.jval.2020.04.007	2020	screen	evaluation	human-agree	med	yes
doi:10.1109/jbhi.2020.2984704	2020	extract	system	benchmark	med	no
doi:10.1016/j.artmed.2020.101949	2020	extract	system	none	med	no
arxiv:2005.06601	2020	extract	method	benchmark	med	no
doi:10.1038/s42256-020-00287-7	2021	screen	system	human-agree	general	yes
doi:10.1186/s12874-021-01451-2	2021	screen	guideline	none	med	yes
doi:10.12688/f1000research.51117.1	2021	extract	position	none	med	no
doi:10.1002/jat.4204	2021	end2end	evaluation	none	med	no
doi:10.1186/s13643-020-01569-2	2021	meta	guideline	none	med	yes
doi:10.1086/713525	2021	meta	position	none	general	no
doi:10.1177/02683962211048201	2021	meta	position	none	general	no
doi:10.1016/j.jclinepi.2021.12.005	2021	meta	evaluation	none	general	no
doi:10.1186/s13643-021-01635-3	2021	screen	system	human-agree	general	yes
doi:10.3389/frai.2021.685298	2021	end2end	system	none	general	no
doi:10.1016/j.jclinepi.2021.06.030	2021	meta	evaluation	none	general	no
doi:10.1080/00472778.2021.1955125	2021	meta	position	none	general	no
doi:10.1016/j.crfs.2021.12.010	2021	screen	method	benchmark	general	no
doi:10.1016/j.envint.2021.107025	2021	extract	system	human-agree	general	no
doi:10.1007/978-1-0716-1566-9_2	2021	search	method	none	general	no
doi:10.1109/seaa53835.2021.00015	2021	search	evaluation	none	se	no
doi:10.1016/j.infsof.2021.106589	2021	meta	evaluation	none	se	no
doi:10.1186/s12874-021-01354-2	2021	extract	evaluation	human-agree	med	no
doi:10.1109/csgb53040.2021.9496030	2021	extract	method	benchmark	med	no
doi:10.1016/j.jclinepi.2021.01.010	2021	screen	method	human-agree	med	no
doi:10.1186/s13643-021-01763-w	2021	screen	method	benchmark	med	no
doi:10.1002/jrsm.1533	2021	appraise	method	benchmark	med	no
doi:10.29173/jchla29590	2021	screen	system	none	med	no
doi:10.1016/s2542-5196(21)00179-0	2021	search	method	none	general	no
doi:10.47909/ijsmc.52	2021	end2end	position	none	general	no
doi:10.1186/s13643-021-01700-x	2021	screen	method	human-agree	general	no
doi:10.2196/24418	2021	end2end	evaluation	human-agree	med	yes
doi:10.1186/s12859-021-04396-x	2021	screen	method	none	med	no
doi:10.1002/jrsm.1518	2021	screen	method	benchmark	med	no
doi:10.1200/cci.20.00087	2021	end2end	system	human-agree	med	no
doi:10.18653/v1/2021.findings-emnlp.147	2021	extract	method	benchmark	med	no
doi:10.1007/978-3-030-90966-6_9	2021	meta	position	none	med	no
arxiv:2112.05596	2021	extract	method	benchmark	med	no
doi:10.1109/iscsic54682.2021.00034	2021	screen	method	benchmark	general	no
doi:10.1002/jrsm.1553	2022	meta	evaluation	none	med	no
doi:10.1186/s12874-022-01805-4	2022	meta	evaluation	none	med	no
doi:10.1002/jrsm.1589	2022	screen	evaluation	human-agree	med	no
doi:10.1016/j.iswa.2022.200141	2022	search	method	none	med	no
doi:10.3233/shti220146	2022	extract	method	benchmark	med	no
doi:10.1186/s13643-022-02045-9	2022	search	system	human-agree	med	no
doi:10.1186/s13643-021-01881-5	2022	screen	method	none	med	no
doi:10.1186/s12874-022-01649-y	2022	appraise	evaluation	human-agree	med	yes
doi:10.1186/s12911-022-01897-4	2022	extract	system	none	med	no
doi:10.1186/s12874-022-01631-8	2022	screen	evaluation	human-agree	med	yes
doi:10.1093/jamia/ocac066	2022	screen	evaluation	human-agree	med	yes
doi:10.1038/s41598-022-05939-9	2022	synthesize	method	none	general	no
doi:10.1016/j.mex.2022.101935	2022	search	method	none	general	no
doi:10.7326/m22-0092	2022	appraise	evaluation	human-agree	med	yes
doi:10.3390/app12062891	2022	screen	method	benchmark	med	no
doi:10.1186/s13643-022-02074-4	2022	extract	method	benchmark	med	no
doi:10.1186/s12911-022-02085-0	2022	search	system	none	med	no
doi:10.1145/3528588.3528658	2022	screen	method	benchmark	se	no
doi:10.1109/icapai55158.2022.9801564	2022	meta	evaluation	none	general	no
doi:10.1016/j.jbi.2022.104185	2022	screen	method	benchmark	med	no
doi:10.1016/j.jclinepi.2022.04.027	2022	meta	evaluation	none	med	no
doi:10.1002/jrsm.1593	2022	search	evaluation	human-agree	med	no
doi:10.1093/jamiaopen/ooac015	2022	screen	evaluation	benchmark	med	no
doi:10.1016/j.jclinepi.2022.06.007	2022	screen	system	none	med	no
doi:10.1016/j.jval.2022.09.1831	2022	meta	evaluation	none	general	no
doi:10.1186/s13326-022-00271-7	2022	extract	method	benchmark	med	no
t:methodologicalinformationextractionfromrandomizedcontrolledtrialpublicationsapil	2022	extract	method	benchmark	med	no
doi:10.18653/v1/2022.bionlp-1.34	2022	extract	method	benchmark	med	no
doi:10.18653/v1/2022.bionlp-1.18	2022	extract	method	benchmark	med	no
arxiv:2211.15397	2022	meta	position	none	general	no
doi:10.1016/j.jclinepi.2022.08.013	2022	search	system	human-agree	med	yes
doi:10.1002/jrsm.1604	2022	search	system	none	general	no
doi:10.1136/bmjebm-2023-112678	2023	screen	evaluation	human-agree	med	yes
doi:10.1002/jrsm.1636	2023	screen	evaluation	human-agree	med	yes
doi:10.2188/jea.je20230227	2023	screen	evaluation	human-agree	med	yes
doi:10.1007/s00607-023-01181-x	2023	end2end	system	none	general	no
doi:10.3390/systems11070351	2023	end2end	method	none	general	no
doi:10.1097/gox.0000000000005339	2023	search	method	none	general	no
doi:10.2196/35568	2023	appraise	method	benchmark	med	no
doi:10.12688/f1000research.51117.2	2023	extract	position	none	general	no
doi:10.1136/bmjopen-2023-072254	2023	screen	guideline	none	med	no
doi:10.1145/3539618.3591703	2023	search	evaluation	benchmark	general	no
doi:10.1016/j.jbi.2023.104389	2023	meta	position	none	med	no
doi:10.1038/s41415-023-6132-y	2023	meta	position	none	med	no
doi:10.1016/j.dajour.2023.100162	2023	screen	method	benchmark	med	no
arxiv:2307.06464	2023	screen	evaluation	human-agree	se	yes
doi:10.1101/2023.12.17.23300102	2023	screen	method	benchmark	med	no
doi:10.2196/48933	2023	extract	evaluation	human-agree	med	yes
doi:10.18653/v1/2023.bionlp-1.37	2023	extract	evaluation	human-agree	med	yes
arxiv:2310.17526	2023	end2end	evaluation	human-agree	med	yes
doi:10.1145/3624918.3625322	2023	screen	method	benchmark	med	no
doi:10.29173/jchla29657	2023	end2end	system	none	general	no
doi:10.1027/2151-2604/a000509	2023	screen	position	none	general	no
doi:10.1101/2023.06.29.23291656	2023	extract	position	none	general	no
doi:10.1101/2023.09.06.23295072	2023	screen	evaluation	human-agree	med	yes
arxiv:2311.07918	2023	screen	system	human-agree	general	yes
doi:10.1038/s41746-023-00896-7	2023	synthesize	evaluation	human-agree	med	no
doi:10.18653/v1/2023.acl-short.119	2023	synthesize	evaluation	human-agree	med	no
doi:10.1093/jamia/ocad036	2023	extract	system	benchmark	med	no
doi:10.18653/v1/2023.eacl-demo.27	2023	synthesize	system	none	med	no
doi:10.1016/j.psychres.2023.115334	2023	search	evaluation	none	med	no
doi:10.3390/biomedicines11061623	2023	end2end	evaluation	human-agree	med	yes
doi:10.1080/00015385.2023.2231299	2023	end2end	method	none	med	no
doi:10.1016/j.jclinepi.2023.04.006	2023	appraise	evaluation	benchmark	med	no
doi:10.1016/j.cardfail.2023.06.015	2023	search	evaluation	none	med	no
doi:10.31234/osf.io/g93zf	2023	screen	guideline	none	general	yes
doi:10.1002/jrsm.1689	2023	extract	method	none	med	yes
doi:10.1080/19345747.2023.2209079	2023	screen	guideline	none	general	no
doi:10.1042/cs20220494	2023	end2end	system	none	med	no
doi:10.1186/s12874-023-02038-9	2023	appraise	system	none	med	no
doi:10.3390/biomedinformatics3010009	2023	meta	position	none	med	no
doi:10.1016/j.euros.2023.07.005	2023	screen	evaluation	human-agree	med	yes
doi:10.2139/ssrn.4520426	2023	screen	evaluation	human-agree	med	yes
doi:10.18653/v1/2023.emnlp-main.626	2023	meta	evaluation	none	med	no
doi:10.7759/cureus.37281	2023	meta	position	none	med	no
doi:10.1093/asj/sjad093	2023	meta	position	none	med	no
doi:10.1136/rapm-2023-104646	2023	report	evaluation	human-agree	med	no
doi:10.3233/shti230347	2023	synthesize	evaluation	benchmark	med	no
doi:10.3390/jcm12175550	2023	search	evaluation	benchmark	med	no
doi:10.3390/jpm13101457	2023	search	evaluation	benchmark	med	no
doi:10.1136/bmjhci-2023-100830	2023	appraise	evaluation	human-agree	med	yes
doi:10.1109/weef-gedc59520.2023.10344098	2023	screen	evaluation	human-agree	general	yes
doi:10.1186/s13643-023-02351-w	2023	extract	evaluation	human-agree	med	yes
doi:10.3390/jcm12165410	2023	synthesize	evaluation	benchmark	med	yes
doi:10.1016/j.jmir.2023.11.005	2023	meta	position	none	med	no
doi:10.1111/ceo.14268	2023	end2end	evaluation	none	med	no
doi:10.1016/j.actpsy.2023.104095	2023	extract	method	none	general	no
doi:10.1007/978-3-031-48858-0_25	2023	end2end	evaluation	none	general	no
doi:10.1115/1.4064245	2023	search	system	none	general	yes
doi:10.1186/s13643-023-02353-8	2023	screen	evaluation	human-agree	med	yes
doi:10.3928/01477447-20231220-02	2023	search	evaluation	human-agree	med	yes
doi:10.1145/3539618.3591768	2023	search	method	benchmark	med	no
doi:10.1080/00015385.2023.2240120	2023	end2end	evaluation	none	med	no
doi:10.21203/rs.3.rs-3099291/v1	2023	search	method	none	general	yes
arxiv:2305.00844	2023	screen	evaluation	human-agree	med	yes
doi:10.1101/2023.06.13.23291311	2023	report	evaluation	none	med	no
doi:10.1177/08944393231196281	2023	meta	guideline	none	general	no
doi:10.1007/978-981-99-3243-6_7	2023	meta	position	none	general	no
doi:10.1002/cesm.12021	2023	screen	position	none	med	no
doi:10.1186/s12911-023-02328-8	2023	screen	method	benchmark	med	yes
doi:10.1186/s13643-022-02163-4	2023	screen	method	benchmark	general	yes
doi:10.1101/2023.04.22.23288967	2023	synthesize	evaluation	human-agree	med	yes
doi:10.2196/preprints.48996	2023	screen	evaluation	human-agree	med	yes
doi:10.1016/j.iswa.2023.200193	2023	screen	method	none	med	no
doi:10.1145/3578337.3605135	2023	screen	method	none	general	no
doi:10.1016/j.zefq.2023.06.007	2023	meta	position	none	med	no
doi:10.2196/39736	2023	end2end	system	benchmark	general	yes
doi:10.1002/jrsm.1665	2023	search	method	none	general	no
doi:10.1007/s40264-023-01367-4	2023	screen	evaluation	none	med	no
doi:10.1186/s13643-023-02257-7	2023	screen	evaluation	benchmark	med	yes
doi:10.1093/bioinformatics/btad542	2023	extract	method	benchmark	med	yes
doi:10.1093/jamiaopen/ooac107	2023	extract	method	benchmark	med	yes
doi:10.47176/mjiri.37.95	2023	meta	position	none	med	no
doi:10.1080/14737167.2023.2234639	2023	screen	evaluation	human-agree	med	yes
arxiv:2311.12474	2023	screen	evaluation	benchmark	med	no
doi:10.1101/2023.12.14.23299933	2023	meta	position	none	general	no
doi:10.1016/j.mex.2024.103129	2024	end2end	system	none	general	no
doi:10.21203/rs.3.rs-4007725/v1	2024	search	method	none	general	no
doi:10.1016/j.mcpdig.2024.05.023	2024	meta	position	none	med	no
doi:10.1145/3661167.3661172	2024	screen	evaluation	human-agree	se	yes
doi:10.21203/rs.3.rs-5063165/v1	2024	screen	system	none	general	no
doi:10.1101/2024.09.18.24313828	2024	screen	evaluation	human-agree	med	yes
doi:10.21203/rs.3.rs-4922498/v1	2024	extract	evaluation	none	general	no
doi:10.1101/2024.12.19.24319326	2024	meta	position	none	med	no
doi:10.1101/2024.03.18.24304457	2024	extract	method	benchmark	med	yes
doi:10.2196/preprints.67488	2024	screen	evaluation	benchmark	med	yes
doi:10.31219/osf.io/ju8dk	2024	meta	guideline	none	general	yes
doi:10.1016/j.jdent.2024.105259	2024	screen	evaluation	benchmark	med	yes
doi:10.1109/fllm63129.2024.10852425	2024	screen	method	benchmark	med	yes
doi:10.1101/2024.11.15.24317267	2024	screen	evaluation	human-agree	general	yes
doi:10.1016/j.cola.2024.101287	2024	screen	evaluation	benchmark	general	yes
doi:10.2196/52758	2024	screen	evaluation	human-agree	med	yes
doi:10.1016/j.ijmedinf.2024.105531	2024	screen	evaluation	human-agree	med	yes
doi:10.1093/ejo/cjae011	2024	search	evaluation	benchmark	med	yes
doi:10.1093/jamia/ocae166	2024	screen	method	benchmark	med	yes
doi:10.1021/acsenvironau.4c00042	2024	screen	evaluation	benchmark	med	yes
doi:10.1002/jrsm.1761	2024	appraise	evaluation	human-agree	med	yes
doi:10.7326/m23-3389	2024	screen	evaluation	human-agree	med	yes
doi:10.1016/j.jclinepi.2024.111533	2024	appraise	evaluation	human-agree	med	yes
doi:10.1145/3674805.3690743	2024	extract	evaluation	benchmark	se	no
doi:10.1101/2024.05.22.24307740	2024	extract	evaluation	benchmark	med	yes
doi:10.1155/2024/8815424	2024	meta	evaluation	none	general	no
doi:10.1007/s40290-024-00539-6	2024	extract	evaluation	benchmark	med	no
doi:10.3390/bdcc8090110	2024	search	method	benchmark	general	no
doi:10.1186/s13643-024-02688-w	2024	screen	method	benchmark	general	no
doi:10.3390/healthcare12222241	2024	end2end	evaluation	human-agree	med	yes
doi:10.1007/978-981-96-0348-0_3	2024	meta	evaluation	none	general	no
doi:10.31235/osf.io/w5b8v	2024	end2end	guideline	none	general	no
doi:10.1109/bigdata62323.2024.10825310	2024	synthesize	method	benchmark	general	no
doi:10.1186/s13643-024-02609-x	2024	screen	evaluation	benchmark	general	no
doi:10.1101/2024.06.01.24308323	2024	screen	method	human-agree	general	yes
doi:10.1101/2024.03.20.24304572	2024	extract	evaluation	benchmark	med	no
doi:10.1038/s41746-024-01239-w	2024	synthesize	evaluation	benchmark	med	no
doi:10.1101/2024.05.01.24306691	2024	report	evaluation	human-agree	med	yes
doi:10.1186/s12874-024-02203-8	2024	screen	evaluation	human-agree	med	yes
doi:10.1136/bmjebm-2023-112530	2024	meta	guideline	none	med	no
doi:10.32384/jeahil20623	2024	search	guideline	none	med	no
doi:10.1136/bmjebm-2023-112597	2024	appraise	method	human-agree	med	yes
doi:10.1016/j.ymeth.2024.04.005	2024	extract	method	benchmark	med	no
doi:10.1002/jrsm.1731	2024	meta	guideline	none	med	no
doi:10.1016/j.crsus.2024.100132	2024	end2end	method	human-agree	general	yes
doi:10.1007/s10648-024-09862-5	2024	screen	evaluation	human-agree	general	yes
doi:10.1002/jrsm.1762	2024	screen	evaluation	benchmark	general	no
doi:10.1186/s13643-024-02590-5	2024	screen	evaluation	human-agree	med	yes
doi:10.31234/osf.io/nc8hs	2024	screen	evaluation	benchmark	general	no
doi:10.1007/s10462-024-10844-w	2024	meta	evaluation	none	general	no
doi:10.1016/j.rmal.2024.100101	2024	screen	guideline	none	general	no
doi:10.1109/ccwc60891.2024.10427829	2024	extract	system	benchmark	med	no
doi:10.1093/jamiaopen/ooae098	2024	search	system	benchmark	med	no
doi:10.1109/jbhi.2024.3483816	2024	meta	evaluation	benchmark	med	no
doi:10.1186/s13643-024-02682-2	2024	meta	position	none	med	no
doi:10.1136/bmjopen-2023-076912	2024	meta	evaluation	human-agree	med	yes
doi:10.2196/48949	2024	end2end	system	none	med	no
doi:10.1016/j.surge.2023.12.005	2024	report	evaluation	none	med	no
doi:10.1007/s00405-024-08464-9	2024	synthesize	evaluation	human-agree	med	yes
doi:10.2196/51187	2024	search	evaluation	benchmark	med	no
doi:10.1136/bmjebm-2024-112990	2024	appraise	evaluation	human-agree	med	yes
doi:10.2196/51526	2024	search	evaluation	human-agree	med	yes
doi:10.1016/j.ijmedinf.2024.105500	2024	end2end	system	none	med	no
doi:10.1609/aaai.v38i21.30577	2024	search	system	none	general	no
doi:10.21203/rs.3.rs-4022248/v1	2024	report	evaluation	human-agree	general	yes
doi:10.1101/2024.07.08.24310046	2024	meta	evaluation	none	med	no
doi:10.1016/j.chb.2024.108215	2024	screen	method	benchmark	general	no
doi:10.1002/jcv2.12234	2024	meta	guideline	none	general	no
doi:10.1186/s13643-024-02592-3	2024	meta	evaluation	none	med	no
doi:10.1111/2041-210x.14341	2024	synthesize	method	benchmark	general	no
doi:10.1098/rspb.2024.0423	2024	meta	position	none	general	no
doi:10.3390/app14199103	2024	meta	position	none	general	no
doi:10.1002/cesm.12041	2024	report	evaluation	human-agree	med	no
doi:10.1101/2024.10.01.24314702	2024	screen	evaluation	human-agree	general	yes
doi:10.1109/iciset62123.2024.10939517	2024	report	system	benchmark	general	no
doi:10.2196/56537	2024	report	evaluation	human-agree	med	yes
doi:10.1007/s10815-024-03089-7	2024	report	evaluation	human-agree	med	yes
doi:10.1145/3674805.3686666	2024	screen	evaluation	human-agree	se	yes
doi:10.1177/03400352241263532	2024	search	evaluation	human-agree	general	yes
doi:10.1007/978-3-031-70421-5_16	2024	end2end	position	none	general	no
doi:10.1109/fllm63129.2024.10852447	2024	meta	evaluation	human-agree	med	yes
doi:10.1101/2024.12.06.24318592	2024	extract	evaluation	benchmark	med	yes
