date	round_id	phase	source	exact_query_or_seed	direction	hits	screened	included_keys	excluded_keys	notes
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API surrogate record	DOI:10.1145/347476.347484;W1604972677	backward	36	32	-	-	seed-key:antoy2000needed; discovery-only wrong-version record with four unresolved identifiers; snapshot screening/seed-2-antoy2000needed-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API surrogate record	W1604972677	forward	5	5	-	-	seed-key:antoy2000needed; discovery-only wrong-version neighborhood and not forward closure for the JACM paper; snapshot screening/seed-2-antoy2000needed-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1609/aaai.v38i8.28652	backward	46	31	khurshid2004solutions,jin2005conflict,grumberg2004allsat,deharbe2013prime,yu2014minimal,moehle2020flavors,zhang2020shortblocking,fried2024entailing	-	seed-key:spallitta2024disjoint; index omits fifteen primary citations; snapshot screening/seed-2-spallitta2024disjoint-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1609/aaai.v38i8.28652	forward	4	4	spallitta2025projected,masina2025cnf,michelutti2024canonical	-	seed-key:spallitta2024disjoint; all returned titles screened; snapshot screening/seed-2-spallitta2024disjoint-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1109/ARES.2015.14	backward	50	41	king1976symbolic,lahiri2006predicate	-	seed-key:phan2015allsmtr; nine identifiers unresolved and primary list differs; snapshot screening/seed-2-phan2015allsmtr-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1109/ARES.2015.14	forward	22	22	spallitta2025projected,masina2025cnf,sebastiani2025entailment	-	seed-key:phan2015allsmtr; all returned titles screened; snapshot screening/seed-2-phan2015allsmtr-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1016/j.artint.2025.104346	backward	66	38	jin2005conflict,grumberg2004allsat,phan2015allsmtr,toda2016allsat,lahiri2006predicate,yu2014minimal,moehle2018dualizing,moehle2020flavors,zhang2020shortblocking,moehle2025short,moehle2023abstract,spallitta2024disjoint,lagniez2024decisiondnnf,michelutti2024canonical	-	seed-key:spallitta2025projected; index omits twenty-eight primary citations; snapshot screening/seed-2-spallitta2025projected-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1016/j.artint.2025.104346	forward	6	6	sebastiani2025entailment,civini2026theorylemma	-	seed-key:spallitta2025projected; all returned titles screened; snapshot screening/seed-2-spallitta2025projected-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.3233/FAIA241007	backward	35	34	bryant1986bdd,lahiri2006predicate,spallitta2024disjoint	-	seed-key:michelutti2024canonical; one identifier unresolved; snapshot screening/seed-2-michelutti2024canonical-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.3233/FAIA241007	forward	3	3	spallitta2025projected,sebastiani2025entailment,civini2026theorylemma	-	seed-key:michelutti2024canonical; all returned titles screened; snapshot screening/seed-2-michelutti2024canonical-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.24963/kr.2024/48	backward	0	0	-	-	seed-key:lagniez2024decisiondnnf; index exposes no references despite a real bibliography; snapshot screening/seed-2-lagniez2024decisiondnnf-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.24963/kr.2024/48	forward	4	4	spallitta2025projected,sebastiani2025entailment,lagniez2025preprocessing	-	seed-key:lagniez2024decisiondnnf; all returned titles screened; snapshot screening/seed-2-lagniez2024decisiondnnf-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.1016/j.dam.2024.10.021	backward	89	45	bernasconi2013compact,darwiche2002knowledge,lahiri2006predicate,moehle2018dualizing	-	seed-key:moehle2025short; index neighborhood contains duplicates and omits primary citations; snapshot screening/seed-2-moehle2025short-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.1016/j.dam.2024.10.021	forward	3	3	spallitta2025projected,masina2025cnf,sebastiani2025entailment	-	seed-key:moehle2025short; all returned titles screened; snapshot screening/seed-2-moehle2025short-forward.tsv
2026-08-04	closure-seeds-2	backward-snowballing	OpenAlex API	DOI:10.24963/ijcai.2022/358	backward	26	23	bryant1986bdd	-	seed-key:decolnet2022prime; three identifiers unresolved and primary list is longer; snapshot screening/seed-2-decolnet2022prime-backward.tsv
2026-08-04	closure-seeds-2	forward-snowballing	OpenAlex API	DOI:10.24963/ijcai.2022/358	forward	5	5	-	-	seed-key:decolnet2022prime; all returned titles screened; snapshot screening/seed-2-decolnet2022prime-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1109/IWAST.2012.6228982	backward	20	19	santelices2010dependencies,king1976symbolic,anand2008demand	ferrante1987pdg	seed-key:denaro2012allvalues; one identifier unresolved; snapshot screening/seed-3-denaro2012allvalues-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1109/IWAST.2012.6228982	forward	0	0	-	-	seed-key:denaro2012allvalues; zero indexed citations is known incomplete and not saturation; snapshot screening/seed-3-denaro2012allvalues-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1145/1831708.1831733	backward	43	43	king1976symbolic,anand2008demand	ferrante1987pdg	seed-key:santelices2010dependencies; complete index export; snapshot screening/seed-3-santelices2010dependencies-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1145/1831708.1831733	forward	62	62	wang2017dependence,slaby2013compact,qi2013output,li2014zequivalent,denaro2012allvalues	-	seed-key:santelices2010dependencies; all returned titles screened; snapshot screening/seed-3-santelices2010dependencies-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1145/2522920.2522925	backward	27	27	santelices2010dependencies,godefroid2007compositional	-	seed-key:qi2013output; complete index export; snapshot screening/seed-3-qi2013output-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1145/2522920.2522925	forward	22	22	wang2017dependence	-	seed-key:qi2013output; all returned titles screened; snapshot screening/seed-3-qi2013output-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1109/TSE.2016.2584063	backward	73	70	santelices2010dependencies,qi2013output,king1976symbolic,godefroid2007compositional,sen2015multise,anand2008demand	-	seed-key:wang2017dependence; index contains alternates and three unresolved identifiers; snapshot screening/seed-3-wang2017dependence-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1109/TSE.2016.2584063	forward	46	46	-	-	seed-key:wang2017dependence; all returned titles screened; snapshot screening/seed-3-wang2017dependence-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1613/jair.1.16870	backward	61	59	khurshid2004solutions,jin2005conflict,gebser2007conflict,grumberg2004allsat,phan2015allsmtr,palopoli1999selective,bernasconi2013compact,lahiri2006predicate,yu2014minimal,toda2017dependencies,tibebu2018structural,fried2023allsatcircuits,moehle2018dualizing,moehle2020flavors,zhang2020shortblocking,moehle2025short,luo2021prime,li2004solall,fried2024entailing,spallitta2024disjoint	masina2023cnf	seed-key:masina2025cnf; two identifiers unresolved and primary list is longer; snapshot screening/seed-3-masina2025cnf-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1613/jair.1.16870	forward	4	4	civini2026theorylemma	-	seed-key:masina2025cnf; all returned titles screened; snapshot screening/seed-3-masina2025cnf-forward.tsv
2026-08-04	closure-seeds-3	backward-snowballing	OpenAlex API	DOI:10.1007/978-3-031-99984-0_37	backward	33	33	gebser2009projected,phan2015allsmtr,bryant1986bdd,darwiche2002knowledge,lahiri2006predicate,moehle2018dualizing,moehle2020flavors,moehle2025short,lagniez2024decisiondnnf,michelutti2024canonical,spallitta2025projected	-	seed-key:sebastiani2025entailment; complete index export; snapshot screening/seed-3-sebastiani2025entailment-backward.tsv
2026-08-04	closure-seeds-3	forward-snowballing	OpenAlex API	DOI:10.1007/978-3-031-99984-0_37	forward	0	0	-	-	seed-key:sebastiani2025entailment; recent paper with zero indexed citations, not saturation; snapshot screening/seed-3-sebastiani2025entailment-forward.tsv
2026-08-04	closure-seeds-4	backward-snowballing	OpenAlex API	DOI:10.1007/978-3-642-01929-6_7	backward	18	18	gebser2007conflict	-	seed-key:gebser2009projected; complete index export; snapshot screening/seed-4-gebser2009projected-backward.tsv
2026-08-04	closure-seeds-4	forward-snowballing	OpenAlex API	DOI:10.1007/978-3-642-01929-6_7	forward	79	79	toda2016allsat,moehle2018dualizing,zhang2020shortblocking,sebastiani2025entailment	-	seed-key:gebser2009projected; all returned titles screened; snapshot screening/seed-4-gebser2009projected-forward.tsv
2026-08-04	closure-seeds-4	backward-snowballing	OpenAlex API	DOI:10.1007/978-3-030-51825-7_5	backward	35	34	grumberg2004allsat,bernasconi2013compact,toda2016allsat,lahiri2006predicate,tibebu2018structural,moehle2018dualizing	sebastiani2020satisfied	seed-key:moehle2020flavors; one stale OpenAlex identifier is absent from the 34-item primary bibliography; snapshot screening/seed-4-moehle2020flavors-backward.tsv
2026-08-04	closure-seeds-4	forward-snowballing	OpenAlex API	DOI:10.1007/978-3-030-51825-7_5	forward	6	6	spallitta2025projected,spallitta2024disjoint,masina2025cnf,moehle2023abstract,sebastiani2025entailment	-	seed-key:moehle2020flavors; all returned titles screened; snapshot screening/seed-4-moehle2020flavors-forward.tsv
2026-08-04	closure-seeds-5	backward-snowballing	OpenAlex API	DOI:10.4230/LIPIcs.SAT.2024.13	backward	0	0	-	-	seed-key:fried2024entailing; index exposes no references despite a 52-item bibliography; snapshot screening/seed-5-fried2024entailing-backward.tsv
2026-08-04	closure-seeds-5	forward-snowballing	OpenAlex API	DOI:10.4230/LIPIcs.SAT.2024.13	forward	3	3	spallitta2024disjoint,masina2025cnf	-	seed-key:fried2024entailing; third result is an obvious unrelated false citation; snapshot screening/seed-5-fried2024entailing-forward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1145/347476.347484	backward	73	73	antoy1997optimal,antoy1998sequential	antoy1994needed	seed-key:antoy2000needed; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-antoy2000needed-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1017/s1471068411000263	backward	32	32	antoy1997optimal,antoy2007lazycontext,antoy2009setfunctions,lopez2007calltime,lopez2008hocalltime	-	seed-key:antoy2011pull; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-antoy2011pull-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.24963/ijcai.2022/358	backward	31	31	bryant1986bdd	-	seed-key:decolnet2022prime; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-decolnet2022prime-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1109/iwast.2012.6228982	backward	20	20	king1976symbolic,godefroid2007compositional,anand2008demand,santelices2010dependencies,qi2013output,boonstoppel2008rwset	ferrante1987pdg	seed-key:denaro2012allvalues; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-denaro2012allvalues-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1109/date.2004.1268825	backward	10	10	narayan1996partitioned,feng2004functional,feng2003arrays	-	seed-key:feng2004dynamic; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-feng2004dynamic-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.4230/lipics.sat.2024.13	backward	52	52	fried2023allsatcircuits,jin2005conflict,khurshid2004solutions,luo2021prime,moehle2018dualizing,moehle2020flavors,moehle2025short,ravi2004minimal,tibebu2018structural,toda2016allsat	masina2023cnf	seed-key:fried2024entailing; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-fried2024entailing-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1145/1190215.1190226	backward	25	25	king1976symbolic	-	seed-key:godefroid2007compositional; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-godefroid2007compositional-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.4230/lipics.iclp.2012.130	backward	53	53	antoy2011pull,antoy2000needed,lopez2007calltime	-	seed-key:hanus2012demand; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-hanus2012demand-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1007/978-3-030-75333-7_4	backward	30	30	antoy2011pull,antoy2000needed,hanus2012demand	-	seed-key:hanus2021memoized; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-hanus2021memoized-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1007/978-3-642-02658-4_33	backward	35	35	alur2008simulation	-	seed-key:kanade2009simulink; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-kanade2009simulink-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.24963/kr.2024/48	backward	31	31	bryant1986bdd,grumberg2004allsat,jin2005conflict,khurshid2004solutions,li2004solall,spallitta2024disjoint,toda2016allsat,yu2014minimal	-	seed-key:lagniez2024decisiondnnf; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-lagniez2024decisiondnnf-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.4230/lipics.ecoop.2024.25	backward	35	35	santos2020gillian,porncharoenwase2022merging	-	seed-key:loow2024compositional; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-loow2024compositional-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1145/3571209	backward	70	70	avgerinos2014veritesting,bornholt2018explodes,boyer1975select,chandra2018bonsai,godefroid2007compositional,hansen2009joining,king1976symbolic,kuznetsov2012merging,porncharoenwase2022merging,sen2015multise	-	seed-key:lu2023grisette; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-lu2023grisette-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1613/jair.1.16870	backward	81	81	bernasconi2013compact,fried2023allsatcircuits,fried2024entailing,gebser2007conflict,grumberg2004allsat,jin2005conflict,khurshid2004solutions,lagniez2024decisiondnnf,lahiri2006predicate,li2004solall,liang2022allsatcc,luo2021prime,moehle2018dualizing,moehle2020flavors,moehle2025short,palopoli1999selective,phan2015allsmtr,ravi2004minimal,sebastiani2025entailment,spallitta2024disjoint,spallitta2025projected,tibebu2018structural,toda2017dependencies,toda2016allsat,yu2014minimal,zhang2020shortblocking	masina2023cnf,sebastiani2020satisfied	seed-key:masina2025cnf; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-masina2025cnf-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.3233/faia241007	backward	42	42	bryant1986bdd,darwiche2002knowledge,lahiri2006predicate,spallitta2024disjoint	-	seed-key:michelutti2024canonical; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-michelutti2024canonical-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1007/978-3-030-51825-7_5	backward	34	34	bernasconi2013compact,grumberg2004allsat,lahiri2006predicate,li2004solall,moehle2018dualizing,tibebu2018structural,toda2016allsat	sebastiani2020satisfied	seed-key:moehle2020flavors; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-moehle2020flavors-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1016/j.dam.2024.10.021	backward	67	67	bernasconi2013compact,fried2024entailing,gebser2009projected,grumberg2004allsat,jin2005conflict,lahiri2006predicate,li2004solall,moehle2018dualizing,moehle2020flavors,ravi2004minimal,spallitta2024disjoint,toda2016allsat	sebastiani2020satisfied	seed-key:moehle2025short; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-moehle2025short-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1145/3341694	backward	47	47	-	-	seed-key:mokhov2019selective; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-mokhov2019selective-backward.tsv
2026-08-04	closure-primary-1	backward-snowballing	Primary paper bibliography	DOI:10.1109/iccad.1996.569909	backward	29	29	bryant1986bdd	-	seed-key:narayan1996partitioned; primary-complete; exact primary bibliography title-screened; snapshot screening/primary-narayan1996partitioned-backward.tsv
