key	status	code	year	title	stage	contribution	evidence	setting	priority
doi:10.1002/cesm.70082	included		2026	Batch Size Effects on Mid‐2025 State‐of‐the‐Art Large Language Model…	screen	evaluation	human-agree	med	medium
doi:10.1002/cesm.70088	included		2026	An Open‐Source Systematic Reviews Integrated System (OSSYRIS) – Strea…	end2end	system	none	general	medium
doi:10.1002/cl2.1129	included		2020	On the use of computer‐assistance to facilitate systematic mapping	meta	position	none	general	medium
doi:10.1002/gin2.70079	included		2026	Integrating Artificial Intelligence and Automation Into Living Guidel…	meta	guideline	none	med	medium
doi:10.1002/hkj2.70085	included		2026	Automated systematic reviews using machine learning and large languag…	meta	position	none	med	medium
doi:10.1002/jat.4204	included		2021	Toxic effects of nanomaterials for health applications: How automatio…	end2end	evaluation	none	med	medium
doi:10.1002/jcv2.12234	included		2024	How to optimize the systematic review process using AI tools	meta	guideline	none	general	medium
doi:10.1002/jrsm.1518	included		2021	Training sample selection: Impact on screening automation in diagnost…	screen	method	benchmark	med	medium
doi:10.1002/jrsm.1533	included		2021	Risk of bias assessment in preclinical literature using natural langu…	appraise	method	benchmark	med	medium
doi:10.1002/jrsm.1553	included		2022	Using artificial intelligence methods for systematic review in health…	meta	evaluation	none	med	medium
doi:10.1002/jrsm.1589	included		2022	In‐depth evaluation of machine learning methods for semi‐automating a…	screen	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1593	included		2022	Investigation of text‐mining methodologies to aid the construction of…	search	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1604	included		2022	<scp><i>Paperfetcher</i></scp>: A tool to automate handsearching and…	search	system	none	general	medium
doi:10.1002/jrsm.1636	included		2023	A real‐world evaluation of the implementation of <scp>NLP</scp> techn…	screen	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1665	included		2023	A mapping exercise using automated techniques to develop a search str…	search	method	none	general	medium
doi:10.1002/jrsm.1689	included		2023	Methods for using Bing's AI‐powered search engine for data extraction…	extract	method	none	med	medium
doi:10.1002/jrsm.1710	included		2024	Data extraction for evidence synthesis using a large language model:…	extract	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1715	included		2024	Can large language models replace humans in systematic reviews? Evalu…	end2end	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1731	included		2024	Automation tools to support undertaking scoping reviews	meta	guideline	none	med	medium
doi:10.1002/jrsm.1732	included		2024	Performance of two large language models for data extraction in evide…	extract	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1761	included		2024	Towards the automatic risk of bias assessment on randomized controlle…	appraise	evaluation	human-agree	med	medium
doi:10.1002/jrsm.1762	included		2024	An evaluation of the performance of stopping rules in <scp>AI</scp>‐a…	screen	evaluation	benchmark	general	medium
doi:10.1002/ksa.70412	included		2026	Automated data extraction for systematic reviews using GPT‐5.2 and Go…	extract	evaluation	human-agree	med	medium
doi:10.1002/ksa.70462	included		2026	Using a large language model as a third reviewer to augment dual huma…	screen	evaluation	human-agree	med	medium
doi:10.1002/pra2.1290	included		2025	<scp>AI</scp> ‐Augmented Search for Systematic Reviews: A Comparative…	search	evaluation	benchmark	general	medium
doi:10.1002/wcms.70047	included		2025	Automating Data Extraction From Scientific Literature and General <sc…	extract	system	none	general	medium
doi:10.1007/978-1-0716-1566-9_2	included		2021	Semi-automated Tools for Systematic Searches	search	method	none	general	medium
doi:10.1007/978-3-030-50420-5_32	included		2020	The Concept of System for Automated Scientific Literature Reviews Gen…	end2end	system	none	general	medium
doi:10.1007/978-3-030-90966-6_9	included		2021	Automation in Healthcare Systematic Review	meta	position	none	med	medium
doi:10.1007/978-3-031-48858-0_25	included		2023	Leveraging Large Language Models for Literature Review Tasks - A Case…	end2end	evaluation	none	general	medium
doi:10.1007/978-3-031-56027-9_25	included		2024	Zero-shot Generative Large Language Models for Systematic Review Scre…	screen	evaluation	human-agree	med	medium
doi:10.1007/978-3-031-56069-9_28	included		2024	SciSpace Literature Review: Harnessing AI for Effortless Scientific D…	end2end	system	none	general	medium
doi:10.1007/978-3-031-70421-5_16	included		2024	Towards the Utilization of AI-Powered Assistance for Systematic Liter…	end2end	position	none	general	medium
doi:10.1007/978-3-032-02813-6_1	deep-read		2025	Augmenting Systematic Literature Reviews: A Human-AI Collaborative Fr…	end2end	method	none	se	high
doi:10.1007/978-3-032-11442-6_39	included		2025	Comparative Assessment of ChatGPT, DeepSeek, and Human Reviewers for…	screen	evaluation	human-agree	med	medium
doi:10.1007/978-3-032-30801-6_6	included		2026	End-to-End Automation of Multilingual Scoping Reviews Using Agentic AI	end2end	system	none	general	medium
doi:10.1007/978-3-032-30813-9_3	included		2026	A PRISMA-Aligned Workflow for LLM-Assisted Title–Abstract Screening:…	screen	method	none	med	medium
doi:10.1007/978-981-95-3456-2_27	included		2025	SGSimEval: A Comprehensive Multifaceted and Similarity-Enhanced Bench…	report	evaluation	benchmark	se	medium
doi:10.1007/978-981-96-0348-0_3	included		2024	Highlighting Case Studies in LLM Literature Review of Interdisciplina…	meta	evaluation	none	general	medium
doi:10.1007/978-981-99-3243-6_7	included		2023	Automating Systematic Literature Reviews with Natural Language Proces…	meta	position	none	general	medium
doi:10.1007/s00134-025-08226-z	included		2025	How large language models can help us write a systematic review	report	guideline	none	med	medium
doi:10.1007/s00146-025-02406-7	included		2025	Can generative AI reliably synthesise literature? exploring hallucina…	meta	evaluation	human-agree	general	medium
doi:10.1007/s00405-024-08464-9	included		2024	Is generative pre-trained transformer artificial intelligence (Chat-G…	synthesize	evaluation	human-agree	med	medium
doi:10.1007/s00607-023-01181-x	included		2023	Artificial intelligence to automate the systematic review of scientif…	end2end	system	none	general	medium
doi:10.1007/s10462-024-10844-w	included		2024	Towards the automation of systematic reviews using natural language p…	meta	evaluation	none	general	medium
doi:10.1007/s10462-024-10902-3	included		2024	Artificial intelligence for literature reviews: opportunities and cha…	meta	position	none	general	medium
doi:10.1007/s10648-024-09862-5	included		2024	Screening Smarter, Not Harder: A Comparative Analysis of Machine Lear…	screen	evaluation	human-agree	general	medium
doi:10.1007/s10648-024-09972-0	included		2024	Semi-automating the Scoping Review Process: Is it Worthwhile? A Metho…	meta	evaluation	none	general	medium
doi:10.1007/s10648-026-10136-5	included		2026	Automated Data Extraction by Large Language Models: Assessing Accurac…	extract	evaluation	human-agree	general	medium
doi:10.1007/s10791-020-09381-1	included		2020	A comparison of automatic Boolean query formulation for systematic re…	search	evaluation	benchmark	general	medium
doi:10.1007/s10815-024-03089-7	included		2024	Utilizing artificial intelligence in academic writing: an in-depth ev…	report	evaluation	human-agree	med	medium
doi:10.1007/s10916-025-02212-0	included		2025	Large Language Models and the Analyses of Adherence to Reporting Guid…	appraise	evaluation	human-agree	med	medium
doi:10.1007/s10916-025-02246-4	included		2025	How Well Do ChatGPT and Claude Perform in Study Selection for Systema…	screen	evaluation	human-agree	med	medium
doi:10.1007/s11192-020-03648-6	included		2020	Automatic document screening of medical literature using word and tex…	screen	method	benchmark	med	medium
doi:10.1007/s11192-024-05206-w	included		2025	Disentangling patent quality: using a large language model for a syst…	end2end	evaluation	none	general	medium
doi:10.1007/s11301-025-00522-8	included		2025	A hybrid framework for creating artificial intelligence-augmented sys…	end2end	method	none	general	medium
doi:10.1007/s11423-026-10629-8	included		2026	Scaffolding systematic reviews in learning design and technology thro…	meta	guideline	none	general	medium
doi:10.1007/s12178-025-10001-y	included		2025	Evaluating the Efficacy and Efficiency of GPT-5 for Automated Title a…	screen	evaluation	human-agree	med	medium
doi:10.1007/s40264-023-01367-4	included		2023	Validation of a Natural Language Machine Learning Model for Safety Li…	screen	evaluation	none	med	medium
doi:10.1007/s40273-026-01648-7	included		2026	A Machine Learning and Large Language Model Tool for Systematic Liter…	end2end	system	human-agree	med	medium
doi:10.1007/s40290-024-00539-6	included		2024	Automated Mass Extraction of Over 680,000 PICOs from Clinical Study A…	extract	evaluation	benchmark	med	medium
doi:10.1007/s41060-025-00731-0	included		2025	Hallucination in AI-generated financial literature reviews: evaluatin…	synthesize	evaluation	benchmark	general	medium
doi:10.1007/s41666-026-00246-8	included		2026	Leveraging LLMs for Title and Abstract Screening for Systematic Revie…	screen	method	none	general	medium
doi:10.1007/s41669-024-00476-9	included		2024	Artificial Intelligence to Automate Network Meta-Analyses: Four Case…	end2end	evaluation	human-agree	med	medium
doi:10.1016/j.accre.2025.03.013	included		2025	Global agricultural adaptation case database and trend analysis based…	extract	system	none	general	medium
doi:10.1016/j.acra.2025.08.014	included		2025	Evaluating Large Language Models for Radiology Systematic Review Titl…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.actpsy.2023.104095	included		2023	Sample size in quantitative instrument-based studies published in Sco…	extract	method	none	general	medium
doi:10.1016/j.adaj.2025.08.011	included		2025	Comparing the performance of ChatGPT, DeepSeek, and Gemini in systema…	meta	evaluation	benchmark	med	medium
doi:10.1016/j.artmed.2020.101949	included		2020	EBM+: Advancing Evidence-Based Medicine via two level automatic ident…	extract	system	none	med	medium
doi:10.1016/j.artmed.2024.102989	included		2024	Enhancing systematic reviews: An in-depth analysis on the impact of a…	screen	evaluation	benchmark	med	medium
doi:10.1016/j.beth.2026.07.001	included		2026	Performance Accuracy of ChatGPT for Data Extraction in Randomised Con…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.cag.2026.104537	included		2026	Leveraging LLMs for semi-automatic corpus filtration in systematic li…	screen	method	none	se	medium
doi:10.1016/j.cardfail.2023.06.015	included		2023	ChatGPT Produces Fabricated References and Falsehoods When Used for S…	search	evaluation	none	med	medium
doi:10.1016/j.chb.2024.108215	included		2024	Using machine learning for continuous updating of meta-analysis in ed…	screen	method	benchmark	general	medium
doi:10.1016/j.cmicom.2026.105214	included		2026	A proof-of-concept performance evaluation of six large language model…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.cmpb.2025.108962	included		2025	ExtractPDF: A data extraction tool for scientific papers applied to a…	extract	system	none	med	medium
doi:10.1016/j.cola.2024.101287	deep-read		2024	Screening articles for systematic reviews with ChatGPT	screen	evaluation	human-agree	se	high
doi:10.1016/j.compbiomed.2025.110464	included		2025	Enhancing search strategies for systematic reviews on drug Harms: An…	search	evaluation	benchmark	med	medium
doi:10.1016/j.crfs.2021.12.010	included		2021	Automatic classification of literature in systematic reviews on food…	screen	method	benchmark	general	medium
doi:10.1016/j.crsus.2024.100132	included		2024	Human-AI collaboration to identify literature for evidence synthesis	end2end	method	human-agree	general	medium
doi:10.1016/j.dajour.2023.100162	included		2023	A novel application of machine learning and zero-shot classification…	screen	method	benchmark	med	medium
doi:10.1016/j.ecoinf.2024.102819	included		2024	Harnessing artificial intelligence for efficient systematic reviews:…	screen	evaluation	none	general	medium
doi:10.1016/j.envint.2020.105623	included		2020	SWIFT-Active Screener: Accelerated document screening through active…	screen	system	human-agree	med	medium
doi:10.1016/j.envint.2021.107025	included		2021	Evaluation of a semi-automated data extraction tool for public health…	extract	system	human-agree	general	medium
doi:10.1016/j.eswax.2020.100030	included		2020	Using a neural network-based feature extraction method to facilitate…	screen	method	benchmark	general	medium
doi:10.1016/j.euros.2023.07.005	included		2023	A Machine Learning Framework Reduces the Manual Workload for Systemat…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.geoderma.2026.117890	included		2026	Rapid evidence mapping of soil fauna responses to agricultural manage…	extract	method	benchmark	general	medium
doi:10.1016/j.hlc.2026.05.032	included		2026	Accuracy of Large Language Models in Extracting Literature Features f…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.ijmedinf.2024.105500	included		2024	Automating biomedical literature review for rapid drug discovery: Lev…	end2end	system	none	med	medium
doi:10.1016/j.ijmedinf.2024.105531	included		2024	Implementation and evaluation of an additional GPT-4-based reviewer i…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.ijmedinf.2025.106035	included		2025	Enhancing AI for citation screening in literature reviews: Improving…	screen	method	benchmark	med	medium
doi:10.1016/j.ijmedinf.2025.106205	included		2025	AI-assisted literature screening: A hybrid approach using large langu…	screen	method	benchmark	med	medium
doi:10.1016/j.ijmedinf.2026.106463	included		2026	Empowering open medium-sized generative language models for effective…	search	method	benchmark	med	medium
doi:10.1016/j.imed.2025.12.006	included		2025	Evaluation of artificial intelligence-based tool Covidence in literat…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.imr.2025.101217	included		2025	Using artificial intelligence for the development of a living evidenc…	end2end	system	benchmark	med	medium
doi:10.1016/j.imr.2026.101351	included		2026	Design and methodology of the AI-empowered Clinical Evidence for Inte…	end2end	system	none	med	medium
doi:10.1016/j.infsof.2021.106589	deep-read		2021	Automation of systematic literature reviews: A systematic literature…	meta	evaluation	none	se	critical
doi:10.1016/j.infsof.2026.108204	deep-read		2026	LLM4SCREENLIT: Recommendations on Assessing the Performance of Large…	meta	guideline	none	general	critical
doi:10.1016/j.ipm.2025.104245	included		2025	Harnessing language models for computational literature review of eme…	meta	method	none	general	medium
doi:10.1016/j.iswa.2022.200141	included		2022	Automated MeSH term suggestion for effective query formulation in sys…	search	method	none	med	medium
doi:10.1016/j.iswa.2023.200193	included		2023	An analysis of work saved over sampling in the evaluation of automate…	screen	method	none	med	medium
doi:10.1016/j.jaad.2025.03.101	included		2025	Transparent reporting of generative artificial intelligence use in sy…	report	guideline	none	general	medium
doi:10.1016/j.jbi.2022.104185	included		2022	Improvement of intervention information detection for automated clini…	screen	method	benchmark	med	medium
doi:10.1016/j.jbi.2023.104389	included		2023	The use of artificial intelligence for automating or semi-automating…	meta	position	none	med	medium
doi:10.1016/j.jbi.2024.104640	included		2024	Leveraging generative AI for clinical evidence synthesis needs to ens…	meta	position	none	med	medium
doi:10.1016/j.jbi.2025.104860	included		2025	Do it faster with PICOS: Generative AI-Assisted systematic review scr…	screen	system	none	med	medium
doi:10.1016/j.jbi.2025.104911	included		2025	An optimized code-free AI approach for efficient and accurate literat…	screen	system	benchmark	med	medium
doi:10.1016/j.jbi.2026.105086	included		2026	Performance of large language models in data extraction for evidence…	extract	evaluation	benchmark	med	medium
doi:10.1016/j.jclinane.2025.112030	included		2025	Combining large language models enhances screening sensitivity in sys…	screen	method	human-agree	med	medium
doi:10.1016/j.jclinepi.2020.01.008	included		2020	A full systematic review was completed in 2 weeks using automation to…	end2end	evaluation	none	med	medium
doi:10.1016/j.jclinepi.2020.09.024	included		2020	Citation screening using crowdsourcing and machine learning produced…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.jclinepi.2020.11.003	included		2020	Machine learning reduced workload with minimal risk of missing studie…	screen	method	human-agree	med	medium
doi:10.1016/j.jclinepi.2021.01.010	included		2021	Natural language processing was effective in assisting rapid title an…	screen	method	human-agree	med	medium
doi:10.1016/j.jclinepi.2021.06.030	included		2021	Systematic review automation tools improve efficiency but lack of kno…	meta	evaluation	none	general	medium
doi:10.1016/j.jclinepi.2021.12.005	included		2021	Tools to support the automation of systematic reviews: a scoping revi…	meta	evaluation	none	general	medium
doi:10.1016/j.jclinepi.2022.04.027	included		2022	Artificial intelligence in COVID-19 evidence syntheses was underutili…	meta	evaluation	none	med	medium
doi:10.1016/j.jclinepi.2022.06.007	included		2022	A novel tool that allows interactive screening of PubMed citations sh…	screen	system	none	med	medium
doi:10.1016/j.jclinepi.2022.08.013	included		2022	In a pilot study, automated real-time systematic review updates were…	search	system	human-agree	med	medium
doi:10.1016/j.jclinepi.2023.04.006	included		2023	Analysis of predictive performance and reliability of classifiers for…	appraise	evaluation	benchmark	med	medium
doi:10.1016/j.jclinepi.2024.111533	deep-read		2024	Benchmarking Human–AI collaboration for common evidence appraisal too…	appraise	evaluation	human-agree	med	critical
doi:10.1016/j.jclinepi.2025.111738	included		2025	Comparing Artificial Intelligence and manual methods in systematic re…	meta	evaluation	none	general	medium
doi:10.1016/j.jclinepi.2025.111746	included		2025	Large language models for conducting systematic reviews: on the rise,…	meta	position	none	med	medium
doi:10.1016/j.jclinepi.2025.111894	included		2025	Comparison of AI-assisted and human-generated plain language summarie…	report	evaluation	human-agree	med	medium
doi:10.1016/j.jclinepi.2025.112102	included		2025	Comparison of AI-assisted and human-generated plain language summarie…	report	evaluation	human-agree	med	medium
doi:10.1016/j.jclinepi.2026.112221	included		2026	Large language models show promising performance for some systematic…	meta	evaluation	human-agree	general	medium
doi:10.1016/j.jclinepi.2026.112383	included		2026	Large language models for systematic reviews were reported to perform…	meta	evaluation	none	med	medium
doi:10.1016/j.jcrc.2025.155358	included		2025	Can large language models approximate the results of meta-analyses in…	synthesize	evaluation	human-agree	med	medium
doi:10.1016/j.jdent.2024.105259	included		2024	Assessing the article screening efficiency of artificial intelligence…	screen	evaluation	benchmark	med	medium
doi:10.1016/j.jdent.2025.105846	included		2025	Artificial intelligence as a tool for data extraction is not fully re…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.jdent.2025.105877	included		2025	Large language models for the screening step in systematic reviews in…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.jdent.2025.106245	included		2025	Accuracy of LLMs to retrieve numeric data for meta-analysis in dentis…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.jeph.2025.202990	included		2025	Validation of a generative artificial intelligence tool for the criti…	appraise	evaluation	human-agree	med	medium
doi:10.1016/j.jmir.2023.11.005	included		2023	Using ChatGPT and other forms of generative AI in systematic reviews:…	meta	position	none	med	medium
doi:10.1016/j.jval.2020.04.007	included		2020	AI4 CAN WE DECREASE THE SCREENING BURDEN IN SYSTEMATIC REVIEWS? PERFO…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.jval.2022.09.1831	included		2022	MSR100 Applicability of Artificial Intelligence in Targeted Literatur…	meta	evaluation	none	general	medium
doi:10.1016/j.jval.2024.10.2450	included		2024	MSR217 Evaluating a Large Language Model Approach for Full-Text Scree…	screen	evaluation	human-agree	med	medium
doi:10.1016/j.jval.2025.04.1193	included		2025	MSR41 The Use of Large Language Models for Systematic Literature Revi…	meta	evaluation	none	med	medium
doi:10.1016/j.jval.2025.07.001	included		2025	Role of Generative Artificial Intelligence in Assisting Systematic Re…	meta	evaluation	human-agree	med	medium
doi:10.1016/j.jval.2025.08.001	included		2025	The “Artificial Intelligence Statistician”: Utilizing Generative Arti…	synthesize	method	none	med	medium
doi:10.1016/j.jval.2025.08.002	included		2025	A4SLR: An Agentic Artificial Intelligence-Assisted Systematic Literat…	end2end	system	none	med	medium
doi:10.1016/j.jval.2025.09.2953	included		2025	SA11 An AI-Enhanced Targeted Literature Review Workflow to Support In…	end2end	system	none	med	medium
doi:10.1016/j.jval.2025.09.3033	included		2025	SA92 Testing Automated-Prompt Engineering Strategies for Systematic L…	screen	evaluation	none	med	medium
doi:10.1016/j.jval.2026.03.1578	included		2026	MSR79 AUTOMATION OF SYSTEMATIC REVIEWS WITH LARGE LANGUAGE MODELS	end2end	system	human-agree	med	medium
doi:10.1016/j.jval.2026.06.012	included		2026	The Use of Generative Artificial Intelligence in Systematic Literatur…	meta	evaluation	none	general	medium
doi:10.1016/j.lindif.2025.102849	included		2025	AI tools for systematic literature reviews and meta-analyses in educa…	meta	guideline	none	general	medium
doi:10.1016/j.mcpdig.2024.05.023	included		2024	Future of Evidence Synthesis: Automated, Living, and Interactive Syst…	meta	position	none	med	medium
doi:10.1016/j.mex.2022.101935	included		2022	An automated method for developing search strategies for systematic r…	search	method	none	general	medium
doi:10.1016/j.mex.2024.103129	included		2024	AI-pocalypse now: Automating the systematic literature review with SP…	end2end	system	none	general	medium
doi:10.1016/j.mex.2026.104041	included		2026	A reproducible optimisation protocol for calibrating prompt-based lar…	meta	method	none	general	medium
doi:10.1016/j.otsr.2026.104793	included		2026	Artificial Intelligence in Systematic Reviews and Meta-Analyses: Task…	meta	evaluation	benchmark	med	medium
doi:10.1016/j.patter.2025.101318	included		2025	ASReview LAB v.2: Open-source text screening with multiple agents and…	screen	system	benchmark	general	medium
doi:10.1016/j.prevetmed.2026.106908	included		2026	A rule-based large language model screening framework for evidence sy…	screen	method	human-agree	med	medium
doi:10.1016/j.prosdent.2026.02.009	included		2026	Performance of large language models conducting systematic review tas…	end2end	evaluation	human-agree	med	medium
doi:10.1016/j.psychres.2023.115334	included		2023	ChatGPT and Bard exhibit spontaneous citation fabrication during psyc…	search	evaluation	none	med	medium
doi:10.1016/j.puhe.2026.106220	included		2026	An overview of artificial intelligence approaches for automating evid…	meta	position	none	general	medium
doi:10.1016/j.rmal.2024.100101	included		2024	Utilizing ASReview in screening primary studies for meta-research in…	screen	guideline	none	general	medium
doi:10.1016/j.rmal.2025.100258	included		2025	Automate the ‘boring bits’: An assessment of AI-assisted systematic r…	screen	evaluation	none	general	medium
doi:10.1016/j.smrv.2025.102192	included		2025	Accuracy of large language models in data extraction from randomized…	extract	evaluation	human-agree	med	medium
doi:10.1016/j.surge.2023.12.005	included		2024	An evaluation of AI generated literature reviews in musculoskeletal r…	report	evaluation	none	med	medium
doi:10.1016/j.tele.2026.102447	included		2026	Beyond accuracy: assessing the information quality of large language…	meta	evaluation	benchmark	general	medium
doi:10.1016/j.tox.2024.153933	included		2024	Artificial intelligence-based data extraction for next generation ris…	extract	evaluation	human-agree	general	medium
doi:10.1016/j.tree.2024.04.007	included		2024	Leveraging AI to improve evidence synthesis in conservation	meta	position	none	general	medium
doi:10.1016/j.vhri.2025.101539	included		2025	Evaluating the Performance of Claude 3.7 Sonnet in Data Extraction Au…	extract	evaluation	human-agree	general	medium
