key	status	code	year	title	cluster	priority	relevance	url
doi:10.1007/978-3-540-78800-3_28	deep-read		2008	Demand-Driven Compositional Symbolic Execution	compositional-symbolic-execution	critical	Demand-driven compositional symbolic execution with summaries generated for caller contexts	
doi:10.1007/978-3-642-19811-3_18	screened		2011	Theoretical Aspects of Compositional Symbolic Execution	compositional-symbolic-execution	high	Formal treatment of compositional symbolic execution precision and progress	
doi:10.1109/icse.2015.79	candidate		2015	Compositional Symbolic Execution with Memoized Replay	compositional-symbolic-execution	high	Memoized replay as a reusable compositional symbolic-execution technique	
doi:10.1145/3498709	deep-read		2022	A Formal Foundation for Symbolic Evaluation with Merging	semantics	critical	Mechanized reusable semantics for symbolic evaluation with merging	
doi:10.1016/j.tcs.2025.115263	deep-read		2025	Compositional Symbolic Execution Semantics	semantics	critical	Compositional denotational traces substitutions and path conditions with concrete correspondence	
doi:10.4230/lipics.ecoop.2024.25	deep-read		2024	Compositional Symbolic Execution for Correctness and Incorrectness Reasoning	compositional-symbolic-execution	critical	Compositional engine for creating and consuming correctness and incorrectness specifications	
doi:10.1145/3571209	deep-read		2023	Grisette: Symbolic Compilation as a Functional Programming Library	merged-evaluation	critical	Symbolic compilation library centered on merged symbolic values and reusable solver-aided abstractions	
doi:10.1023/a:1008699807402	deep-read		1997	Algebraic Decision Diagrams and Their Applications	decision-diagrams	high	Multi-terminal algebraic decision diagrams for compact finite-valued functions	
doi:10.24963/kr.2024/48	deep-read		2024	Leveraging Decision-DNNF Compilation for Enumerating Disjoint Partial Models	model-enumeration	critical	Decision-DNNF compilation for enumerating disjoint partial models	
doi:10.1145/347476.347484	deep-read		2000	A Needed Narrowing Strategy	term-graphs	critical	Optimal needed narrowing with soundness completeness and demand-guided evaluation	
doi:10.1145/800027.808445	screened		1975	SELECT---a formal system for testing and debugging programs by symbolic execution	symbolic-execution	medium	Early symbolic execution system and terminology	
doi:10.1613/jair.989	screened		2002	A Knowledge Compilation Map	knowledge-compilation	high	Knowledge-compilation map and query-transformation tradeoffs	
doi:10.1016/j.dam.2024.10.021	deep-read		2025	On Enumerating Short Projected Models	model-enumeration	critical	Correct disjoint short projected model enumeration without a standard output-complexity theorem	
doi:10.1016/j.dam.2019.02.025	deep-read		2019	A Complexity Theory for Hard Enumeration Problems	enumeration-complexity	high	OutputP IncP DelayP and oracle-relative complexity for hard enumeration	
doi:10.1016/j.tcs.2009.06.014	screened		2009	Configuration structures, event structures and Petri nets	event-structures	medium	Formal comparison of configuration structures event structures and Petri nets	
doi:10.1109/real.1998.739746	screened		1998	Automatic Testing of Reactive Systems	dataflow-testing	high	Automatic testing of reactive synchronous systems with Lustre-based observers	
doi:10.1007/978-3-540-87405-8_7	screened		2008	Inductively Sequential Term-Graph Rewrite Systems	term-graphs	high	Neededness and rewriting for inductively sequential term-graph systems	
doi:10.1145/3674626	deep-read		2024	Story of Your Lazy Function's Life	demand-semantics	high	Bidirectional demand semantics that computes minimal sufficient partial inputs and cost	
doi:10.1016/j.entcs.2006.10.055	screened		2007	Event Structure Spans for Nondeterministic Dataflow	event-structures	medium	Event-structure spans with finite input demands and compositional nondeterministic dataflow histories	
doi:10.5591/978-1-57735-516-8/ijcai11-143	candidate		2011		decision-diagrams	high	Sentential decision diagrams and structured decomposable representations	
doi:10.1007/11817963_39	candidate		2006	SMT Techniques for Fast Predicate Abstraction	model-enumeration	high	AllSMT-style predicate abstraction over selected atoms	
doi:10.2168/lmcs-3(2:1)2007	candidate		2007	Predicate Abstraction via Symbolic Decision Procedures	model-enumeration	high	Predicate abstraction through symbolic decision procedures and important predicates	
doi:10.1145/3638046	excluded	E3-secondary	2023	Directed Test Generation for Hardware Validation: A Survey	hardware	medium	Secondary discovery source for hardware directed test generation	
doi:10.1109/5.726791	excluded	E2-ml-graph-runtime	1998	Gradient-based learning applied to document recognition	machine-learning-graph	low	False positive for symbolic evaluation of term graphs	
doi:10.1145/24039.24041	excluded	E6-out-of-scope-model	1987	The program dependence graph and its use in optimization	dataflow-analysis	low	Program-dependence graph construction without the survey's symbolic observation object	
doi:10.24963/ijcai.2022/358	deep-read		2022	On the Complexity of Enumerating Prime Implicants from Decision-DNNF Circuits	enumeration-complexity	critical	OutputP and IncP algorithms for prime implicants when decision-DNNF is the input	
doi:10.1145/2975585	screened		2016	Implementing Efficient All Solutions SAT Solvers	model-enumeration	high	Blocking nonblocking partial-assignment and BDD AllSAT implementations	
doi:10.1145/2666356.2594340	candidate		2014	A lightweight symbolic virtual machine for solver-aided host languages	merged-evaluation	high	Reusable symbolic virtual machine underlying solver-aided host-language evaluation	
doi:10.1145/3385412.3386014	candidate		2020	Gillian, part i: a multi-language platform for symbolic execution	compositional-symbolic-execution	high	Parametric multi-language platform for compositional symbolic execution	
doi:10.1145/1806799.1806864	candidate		2010	Using symbolic evaluation to understand behavior in configurable software systems	conditional-values	high	Behavioral equivalence across configurations derived by symbolic evaluation	
doi:10.1007/978-3-642-28872-2_19	candidate		2012	Integration Testing of Software Product Lines Using Compositional Symbolic Execution	compositional-symbolic-execution	medium	Compositional symbolic execution applied to software-product-line integration testing	
doi:10.1145/3649852	candidate		2024	A Pure Demand Operational Semantics with Applications to Program Analysis	demand-semantics	medium	Pure demand operational semantics and its distinct use of demand terminology	
doi:10.1145/2248418.2248437	candidate		2012	An operational semantics for Simulink's simulation engine	model-based	medium	Operational semantics boundary for cyclic timed Simulink simulation	
doi:10.1007/978-3-642-28891-3_33	candidate		2012	CLSE: Closed-Loop Symbolic Execution	model-based	medium	Closed-loop symbolic execution outside the pure finite-graph scope	
doi:10.1145/3477141	excluded	E2-ml-graph-runtime	2021	Computing Graph Neural Networks: A Survey from Algorithms to Accelerators	machine-learning-graph	low	Machine-learning computation-graph acceleration rather than symbolic program semantics	
doi:10.1145/3597428	excluded	E2-ml-graph-runtime	2023	The Evolution of Distributed Systems for Graph Neural Networks and Their Origin in Graph Processing and Deep Learning: A Survey	machine-learning-graph	low	Distributed graph-neural-network execution rather than symbolic program semantics	
doi:10.1145/3597503.3623345	excluded	E2-ml-graph-runtime	2024	Dataflow Analysis-Inspired Deep Learning for Efficient Vulnerability Detection	machine-learning-graph	low	Neural architecture inspired by dataflow analysis without a symbolic evaluator	
doi:10.1007/bf01277522	excluded	E6-out-of-scope-model	1993	Dataflow query execution in a parallel main-memory environment	dataflow-runtime	low	Database query scheduling rather than symbolic observation enumeration	
doi:10.1145/1880050.1880052	excluded	E6-out-of-scope-model	2010	Synchronous dataflow scenarios	dataflow-runtime	low	Synchronous-dataflow throughput and scenario scheduling rather than symbolic observation enumeration	
doi:10.1109/seaa.2012.20	excluded	E6-out-of-scope-model	2012	Max-Plus Algebraic Throughput Analysis of Synchronous Dataflow Graphs	dataflow-runtime	low	Max-plus timing and throughput analysis only	
doi:10.1016/j.scico.2005.02.009	excluded	E6-out-of-scope-model	2005	Weighted pushdown systems and their application to interprocedural dataflow analysis	dataflow-analysis	low	Interprocedural dataflow facts rather than input-observation enumeration	
arxiv:2309.17042	excluded	E3-secondary	2023	Enumeration Complexity: Incremental Time, Delay and Space	enumeration-complexity	medium	Secondary discovery survey; manuscript claims use primary complexity results	
doi:10.1109/test.2006.297666	excluded	E4-application-only	2006	Characteristic States and Cooperative Game Based Search for Efficient Sequential ATPG and Design Validation	hardware	low	Hardware ATPG application without a closer semantic object	
doi:10.1109/test.2017.8242038	screened		2017	Factored concolic RTL test generation	hardware	high	Factored concolic RTL exploration with a test-decision tree of discovered mutable guards and witnesses	
doi:10.1109/date.2004.1268860	screened		2004	SAT all-solutions preimage compilation	model-enumeration	high	Projected all-solutions circuit SAT compiled into shared free BDD and fixed-order OBDD representations	
doi:10.1145/3676642.3736123	candidate		2025	SYL Q-SV: Scaling Symbolic Execution of Hardware Designs with Query Caching	hardware	high	Direct Sylvia successor using SMT-query caching while retaining conventional symbolic paths	
doi:10.1109/fdl68117.2025.11165271	candidate		2025	Leveraging Piecewise Composition to Infer Environment Constraints for Hardware Designs	hardware	high	Piecewise symbolic composition used to infer hardware environment constraints	
doi:10.1109/tc.2006.153	candidate		2006	Taylor Expansion Diagrams: A Canonical Representation for Verification of Data Flow Designs	decision-diagrams	high	Canonical Taylor expansion diagrams for polynomial dataflow functions rather than selection observations	
doi:10.1109/12.966501	candidate		2001	A note on complexity of OBDD composition and efficiency of partitioned-OBDDs over OBDDs	decision-diagrams	medium	Complexity limits for OBDD composition and partitioned-OBDD representation	
doi:10.1007/bfb0029959	candidate		1997	Complexity theoretical results on partitioned (nondeterministic) binary decision diagrams	decision-diagrams	medium	Complexity theory for partitioned deterministic and nondeterministic BDDs	
doi:10.1007/3-540-17945-3_8	candidate		1987	Term graph rewriting	term-graphs	high	Foundational term-graph rewriting semantics for sharing	
doi:10.1007/3-540-57186-8_79	candidate		1993	A demand driven computation strategy for lazy narrowing	term-graphs	high	Demand-driven lazy narrowing preceding later needed term-graph semantics	
doi:10.1613/jair.1.16870	deep-read		2025	On CNF Conversion for SAT and SMT Enumeration	model-enumeration	critical	CNF conversion can fragment short projected SAT and SMT enumeration outputs	
doi:10.1007/978-3-031-99984-0_37	deep-read		2025	Entailment vs. Verification for Partial-Assignment Satisfiability and Enumeration	model-enumeration	critical	Semantic separation of verification and entailment for projected partial assignments	
doi:10.4230/lipics.sat.2024.13	deep-read		2024	Entailing Generalization Boosts Enumeration	model-enumeration	critical	Entailment-based generalization of exact circuit AllSAT covers beyond ternary satisfaction	
doi:10.1007/978-3-032-04590-4_9	candidate		2025	Enhancing Query Efficiency for D-DNNF Representations Through Preprocessing	knowledge-compilation	medium	Preprocessing d-DNNF representations while preserving enumeration and query behavior	
doi:10.1007/978-3-032-32589-1_18	candidate		2026	Beyond Eager Encodings: A Theory-Agnostic Approach to Theory-Lemma Enumeration in SMT	model-enumeration	medium	SMT theory-lemma enumeration with a different output object from observation fibers	
doi:10.1007/978-3-642-01929-6_7	deep-read		2009	Solution Enumeration for Projected Boolean Search Problems	model-enumeration	critical	Sound complete nonredundant projected Boolean solution enumeration in polynomial space	
doi:10.1007/978-3-030-51825-7_5	deep-read		2020	Four Flavors of Entailment	model-enumeration	critical	Four levels of partial-assignment entailment including exact projected universal-existential coverage	
doi:10.1109/ddecs.2018.00028	candidate		2018	Augmenting All Solution SAT Solving for Circuits with Structural Information	model-enumeration	high	Circuit-structural generalization from total models to compact partial assignments	
legacy:voronov2011partialconfig	candidate		2011		model-enumeration	high	Exact projected enumeration of valid partial product configurations using SAT BDD and d-DNNF	https://ceur-ws.org/Vol-755/paper04.pdf
doi:10.1007/s00224-013-9447-2	candidate		2013	Compact DSOP and Partial DSOP Forms	model-enumeration	medium	Compact disjoint-sum-of-products representation and minimization complexity	
doi:10.1007/978-3-540-30494-4_20	candidate		2004	Memory Efficient All-Solutions SAT Solver and Its Application for Reachability Analysis	model-enumeration	high	Memory-efficient all-solutions SAT with reachability applications	
doi:10.1145/3324884.3416569	candidate		2020	Accelerating all-SAT computation with short blocking clauses	model-enumeration	high	AllSAT acceleration through short blocking clauses	
arxiv:2003.04225	excluded	E7-duplicate-version	2020	Are You Satisfied by This Partial Assignment?	model-enumeration	medium	Semantic precursor superseded for manuscript claims by the expanded CADE 2025 treatment	
doi:10.1109/iwast.2012.6228982	deep-read		2012	All-Values Symbolic Execution	output-symbolic-execution	critical	Enumerates guarded symbolic values at program statements instead of full execution paths	
doi:10.1145/1831708.1831733	deep-read		2010	Exploiting Program Dependencies for Scalable Multiple-Path Symbolic Execution	output-symbolic-execution	critical	Output-dependent path families avoid combinations irrelevant to queried symbolic values	
doi:10.1145/2522920.2522925	deep-read		2013	Path Exploration Based on Symbolic Output	output-symbolic-execution	critical	Complete exploration of symbolic-output classes using reordered relevant-slice conditions	
doi:10.1007/978-3-642-02658-4_41	screened		2009	Reducing Test Inputs Using Information Partitions	input-partitioning	high	Input information partitions derived from dynamic dependencies to reduce test suites	
doi:10.1007/978-3-319-47846-3_5	screened		2016	A General Lattice Model for Merging Symbolic Execution Branches	merged-evaluation	high	General lattice abstraction for sound symbolic branch merging	
doi:10.1145/3180155.3180251	screened		2018	Chopped Symbolic Execution	demand-driven	high	Lazy execution of skipped code when its effects become observable to a target slice	
doi:10.1109/tse.2016.2584063	deep-read		2017	Dependence Guided Symbolic Execution	output-symbolic-execution	critical	Dependence-guided approximation of symbolic-value path equivalence with fault-detection preservation	
doi:10.4230/lipics.sat.2023.9	screened		2023	AllSAT for Combinational Circuits	model-enumeration	high	Native-circuit ternary generalization for disjoint and overlapping exact AllSAT covers	
doi:10.1145/2652484	deep-read		2014	Removing Z-Equivalent Symbolic States	path-equivalence	critical	Caller-indistinguishable symbolic states with identical future paths and solver answers	
doi:10.2197/ipsjjip.25.459	candidate		2017	Exploiting Functional Dependencies of Variables in All Solutions SAT Solvers	model-enumeration	high	Encoding-aware functional dependencies and OBDD compilation for AllSAT	
doi:10.1007/978-3-031-43369-6_11	candidate		2023	An Abstract CNF-to-d-DNNF Compiler Based on Chronological CDCL	knowledge-compilation	high	Sound terminating d-DNNF compilation combining disjoint enumeration and decomposition	
doi:10.1145/3158150	candidate		2018	Bonsai: synthesis-based reasoning for type systems	merged-evaluation	high	Constraint-based symbolic tree representation designed for efficient merging	
doi:10.1145/3276519	candidate		2018	Finding code that explodes under symbolic evaluation	merged-evaluation	high	Symbolic-heap and evaluation-graph account of all-path evaluation blowup	
doi:10.1007/978-3-642-04694-0_6	candidate		2009	State Joining and Splitting for the Symbolic Execution of Binaries	merged-evaluation	high	State joining and splitting with an explicit merge-versus-solver-cost tradeoff	
doi:10.1007/978-3-540-72200-7_13	candidate		2007	Conflict-Driven Answer Set Enumeration	model-enumeration	high	Conflict-driven complete answer-set enumeration in polynomial space	
doi:10.1007/978-3-319-02444-8_15	candidate		2013	Compact Symbolic Execution	symbolic-execution	high	Template-based exact folding of regular cyclic symbolic paths	
doi:10.1016/s0004-3702(99)00035-1	candidate		1999	Algorithms for selective enumeration of prime implicants	enumeration-complexity	high	Optimization-based selective enumeration of prime implicants	
doi:10.1007/978-3-540-24605-3_21	candidate		2004	A Case for Efficient Solution Enumeration	model-enumeration	high	Historical case for partial rather than total solution enumeration	
doi:10.1109/fmcad.2013.6679390	candidate		2013	Computing prime implicants	model-enumeration	high	Linear-time CDCL-data-structure algorithm for shrinking one model to a prime implicant	
doi:10.1007/978-3-540-31980-1_19	candidate		2005	Efficient Conflict Analysis for Finding All Satisfying Assignments of a Boolean Circuit	model-enumeration	high	Circuit-native conflict analysis for exhaustive satisfying-assignment enumeration	
doi:10.1145/1065579.1065775	candidate		2005	Prime clauses for fast enumeration of satisfying assignments to boolean circuits	model-enumeration	high	Prime blocking clauses for compact exhaustive Boolean-circuit coverage	
doi:10.1109/vlsid.2014.22	candidate		2014	All-SAT Using Minimal Blocking Clauses	model-enumeration	high	Non-disjoint AllSAT using minimal blocking clauses	
doi:10.1109/ictai.2018.00111	candidate		2018	Dualizing Projected Model Counting	model-counting	medium	Dualized projected-model counting with an enumeration mode	
doi:10.1109/iccad51958.2021.9643520	candidate		2021	An Efficient Two-phase Method for Prime Compilation of Non-clausal Boolean Formulae	model-enumeration	high	Two-phase prime compilation of non-clausal Boolean formulas	
doi:10.1007/s10703-025-00478-1	deep-read		2025	Timed Causal Fanin Analysis	hardware	critical	Cycle-sensitive minimal causal fanin for symbolic circuit simulation	
doi:10.34727/2022/isbn.978-3-85448-053-2_16	excluded	E7-duplicate-version	2022	Timed Causal Fanin Analysis for Symbolic Circuit Simulation	hardware	medium	Conference precursor superseded by the expanded 2025 journal treatment	
doi:10.1109/tc.2010.58	candidate		2010	Conditional Partial Order Graphs: Model, Synthesis, and Application	configuration-semantics	high	Conditional partial-order graph representation of families of choices and event orders	
doi:10.1145/1450058.1450071	candidate		2008	Symbolic analysis for improving simulation coverage of Simulink/Stateflow models	model-based	high	Input regions preserving the discrete components of Simulink simulation traces	
doi:10.23919/date56975.2023.10137202	candidate		2023	Processor Verification using Symbolic Execution: A RISC-V Case-Study	hardware	medium	Conventional KLEE path exploration applied to RTL and instruction-set co-simulation	
arxiv:2110.12924	excluded	E7-duplicate-version	2021	On Enumerating Short Projected Models	model-enumeration	medium	Preprint superseded for manuscript claims by the expanded 2025 journal treatment	
doi:10.4230/lipics.sat.2023.15	excluded	E7-duplicate-version	2023	On CNF Conversion for Disjoint SAT Enumeration	model-enumeration	medium	Conference precursor superseded by the expanded 2025 JAIR treatment	
arxiv:2303.14971	excluded	E7-duplicate-version	2023	On CNF Conversion for SAT and SMT Enumeration	model-enumeration	medium	Preprint superseded by the expanded 2025 JAIR treatment	
arxiv:2407.10838	excluded	E7-duplicate-version	2024	Compositional Symbolic Execution for Correctness and Incorrectness Reasoning (Extended Version)	compositional-symbolic-execution	medium	Extended manuscript corresponding to the ECOOP 2024 publication	
doi:10.1007/978-3-540-78800-3_27	candidate		2008	RWset: Attacking Path Explosion in Constraint-Based Test Generation	path-equivalence	high	Sound path pruning by future read sets and observationally identical side effects	
doi:10.4230/lipics.iclp.2012.130	deep-read		2012	Improving Lazy Non-Deterministic Computations by Demand Analysis	functional-logic-search	critical	Demand analysis exposes nondeterministic arguments before lazy duplication and preserves complete search strategies	
doi:10.1007/978-3-030-75333-7_4	deep-read		2021	Memoized Pull-Tabbing for Functional Logic Programming	term-graphs	critical	Memoized pull-tabbing uses demand-populated fingerprints that are partial maps from stable choice identifiers to outcomes	
t:demanddrivensearchinfunctionallogicprograms	screened		1998	Demand-driven Search in Functional Logic Programs	functional-logic-search	high	Lazy tester-generator composition explores only dynamically demanded portions of a nondeterministic search space	https://www.univ-orleans.fr/lifo/membres/rety/publications.html
doi:10.1007/978-3-319-51676-9_1	screened		2017	Eliminating Irrelevant Non-determinism in Functional Logic Programs	functional-logic-search	high	Semantically irrelevant nondeterminism collapses reached alternatives when every complete result is equal	
doi:10.1007/978-3-031-76554-4_13	candidate		2024	Correct and Complete Symbolic Execution for Free	semantics	high	Symbolic SOS generates symbolic semantics with correctness and completeness by a generic rule-format theorem	
doi:10.1145/1015090.1015263	candidate		2004		hardware	high	Static functional-space decomposition separates control cases from datapath functions in symbolic simulation	
legacy:feng2003arrays	candidate		2003		hardware	medium	Dual-rail symbolic simulation separates control and datapath domains for embedded array verification	https://cecs.uci.edu/~papers/compendium94-03/papers/2003/aspdac03/pdffiles/03d_2.pdf
doi:10.1007/bfb0027000	candidate		1997	Optimal non-deterministic functional logic computations	functional-logic-search	high	Optimal nondeterministic functional-logic computation establishes minimal solution search and sharing foundations	
doi:10.1016/s0020-0190(98)00016-7	candidate		1998	Strongly sequential and inductively sequential term rewriting systems	term-graphs	high	Strong and inductive sequentiality characterize demand-directed rewriting structure	
doi:10.1016/j.entcs.2006.10.026	candidate		2007	Lazy Context Cloning for Non-Deterministic Graph Rewriting	term-graphs	high	Lazy context cloning gives a correct complete graph-rewrite strategy without eager context duplication	
doi:10.1145/1599410.1599420	deep-read		2009	Set Functions for Functional Logic Programming	functional-logic-search	critical	Set-function fingerprints retain executed nondeterministic steps and correctly group all internal results	
doi:10.1145/1273920.1273947	candidate		2007	A simple rewrite notion for call-time choice semantics	semantics	high	Let-rewriting makes sharing explicit and is proved equivalent to call-time-choice semantics	
doi:10.1007/978-3-540-78969-7_12	candidate		2008	Rewriting and Call-Time Choice: The HO Case	semantics	high	Extends rewriting and call-time-choice semantics to higher-order functional-logic programs	
doi:10.1016/s1571-0661(04)80784-9	candidate		2002	Demandness in Rewriting and Narrowing	demand-semantics	high	Demandness orders rewriting and narrowing strategies by the information used to choose computation steps	
doi:10.1145/2505879.2505881	candidate		2013	Are needed redexes really needed?	term-graphs	high	Graph implementation can avoid constructing redexes that are semantically needed in the term model	
doi:10.1007/978-3-030-16202-3_6	candidate		2019	Synthesizing Set Functions	functional-logic-search	high	Synthesizes set functions that reify all nondeterministic results in an explicit search tree	
doi:10.1007/978-3-319-90686-7_10	candidate		2018	Equivalence Checking of Non-deterministic Operations	semantics	high	Distinguishes ground result and contextual equivalences for nondeterministic operations	
doi:10.1145/3776699	candidate		2026	Domain-Theoretic Semantics for Functional Logic Programming	semantics	high	Fully abstract lower-powerdomain semantics deliberately quotients duplicate nondeterministic choices by returned values	
doi:10.1007/978-3-540-24730-2_3	candidate		2004	Minimal Assignments for Bounded Model Checking	model-enumeration	high	Computes partial assignments sufficient to entail bounded-model-checking objectives	
doi:10.1109/ictai.2005.69	candidate		2005	Good learning and implicit model enumeration	model-enumeration	high	Implicit model enumeration learns goods and simplifies overlapping partial assignments that cover all models	
doi:10.24963/ijcai.2022/259	candidate		2022	AllSATCC: Boosting AllSAT Solving with Efficient Component Analysis	model-enumeration	high	Component caching and decision-only partial assignments reduce repeated work in AllSAT enumeration	
doi:10.1145/174675.177907	excluded	E7-duplicate-version	1994	Value dependence graphs	term-graphs	medium	Conference precursor superseded by the complete 2000 JACM treatment	
doi:10.1017/s0956796811000189	candidate		2011	Purely functional lazy nondeterministic programming	functional-logic-search	high	Explicit sharing and late demand avoid executing unused lazy nondeterministic computations while collecting all result values	
doi:10.1145/1273920.1273936	candidate		2007	Computing with subspaces	functional-logic-search	high	Fairly enumerates every reachable result through computation spaces while preserving call-time choice and order independence	
doi:10.1145/3551357.3551370	excluded	E7-duplicate-version	2022	A Monadic Implementation of Functional Logic Programs	functional-logic-search	medium	Conference precursor superseded for manuscript claims by the expanded 2026 TPLP treatment	
doi:10.1017/s1471068426100453	screened		2026	A Monadic Implementation of Functional Logic Programs	functional-logic-search	high	Expanded monadic Curry implementation integrates branch-specific memoization complete language features determinism optimization and fair search	
doi:10.1145/3479394.3479411	candidate		2021	From Non-determinism to Goroutines: A Fair Implementation of Curry in Go	functional-logic-search	high	Fair Curry implementation separates nondeterministic result production from search using goroutines	
doi:10.1145/2505879.2505896	candidate		2013	A semantics for weakly encapsulated search in functional logic programs	functional-logic-search	high	Weakly encapsulated search formalizes which nondeterminism is collected under lazy evaluation and sharing	
t:thepulltabtransformation	deep-read		2010	The Pull-Tab Transformation	term-graphs	critical	Pull-tab graph nodes carry finite consistent choice-identifier fingerprints and preserve decisions across copied choices	https://web.cecs.pdx.edu/~antoy/homepage/publications/gcm10/paper.pdf
doi:10.1145/3756907.3756915	candidate		2025	Determinism Types for Functional Logic Programming	functional-logic-search	high	Determinism types statically classify result multiplicity and support elimination of irrelevant search	
doi:10.1007/978-3-642-24452-0_2	deep-read		2008	From Functional Logic Programs to Purely Functional Programs Preserving Laziness	functional-logic-search	critical	Pure functional translation uses stable choice IDs and demand-extends a partial choice assignment during lazy search	
doi:10.1145/3797074	candidate		2026	SmarTrim: Symbolic Execution for Smart Contracts Powered by Redundant Transaction-Sequence Pruning	path-equivalence	medium	Symbolic state trimming removes redundant exploration using future-observable behavior	
t:encapsulatingnondeterminisminfunctionallogiccomputations	candidate		2004	Encapsulating Non-Determinism in Functional Logic Computations	functional-logic-search	high	Operational semantics for encapsulating nondeterministic Curry computations under laziness and sharing	https://dblp.org/rec/journals/jflp/BrasselHH04
