key	status	code	year	title	relation	artifact	execution	goal	evidence	priority	relevance	url
arxiv:2105.05962	excluded	E1-software-or-firmware-only	2021	Guardian: symbolic validation of orderliness in SGX enclaves						low	Guardian symbolically executes SGX enclave software to validate memory behavior; SGX hardware is the platform, not the symbolic artifact.	https://arxiv.org/abs/2105.05962
arxiv:2106.05268	excluded	E6-out-of-scope-artifact	2021	Vector Symbolic Architectures as a Computing Framework for Emerging Hardware						low	Vector symbolic architectures are a representational framework for emerging compute hardware, not symbolic execution of designs.	https://arxiv.org/abs/2106.05268
arxiv:2106.10392	excluded	E2-formal-hardware-without-execution	2021	Effective Pre-Silicon Verification of Processor Cores by Breaking the  Bounds of Symbolic Quick Error Detection						low	The paper extends Symbolic Quick Error Detection for pre-silicon cores, but that method uses symbolic starting states within bounded formal checking rather than operational hardware path execution.	https://arxiv.org/abs/2106.10392
arxiv:2107.07759	excluded	E1-software-or-firmware-only	2021	Automatic Firmware Emulation through Invalidity-guided Knowledge Inference (Extended Version)						low	uEmu symbolically executes firmware while treating peripheral registers as unconstrained inputs to infer emulation rules, not as a symbolically executed hardware design.	https://arxiv.org/abs/2107.07759
arxiv:2109.06133	excluded	E6-out-of-scope-artifact	2021	Neuro-Symbolic AI: An Emerging Class of AI Workloads and their  Characterization						low	This characterizes neuro-symbolic AI workloads; “symbolic” is an AI paradigm rather than hardware analysis.	https://arxiv.org/abs/2109.06133
arxiv:2111.00805	included		2021	FuCE: Fuzzing+Concolic Execution guided Trojan Detection in Synthesizable Hardware Designs	core	rtl	selective-hybrid	security	experiment	high	FuCE alternates fuzzing with concolic RTL execution after coverage stalls and returns solver-generated Trojan-triggering inputs to the concrete campaign.	https://arxiv.org/abs/2111.00805
arxiv:2111.03989	excluded	E8-duplicate-or-superseded	2021	A Symbolic Approach to Detecting Hardware Trojans Triggered by Don't Care Transitions						low	Duplicate or superseded record for A Symbolic Approach to Detecting Hardware Trojans Triggered by Don't Care Transitions; retained canonical record doi:10.1145/3558392.	https://arxiv.org/abs/2111.03989
arxiv:2201.11433	excluded	E1-software-or-firmware-only	2022	ETAP: Energy-aware Timing Analysis of Intermittent Programs						low	ETAP symbolically executes intermittent programs using external energy and timing cost models; the device hardware is concrete context rather than the symbolic artifact.	https://arxiv.org/abs/2201.11433
arxiv:2204.07167	excluded	E1-software-or-firmware-only	2022	Towards Porting Operating Systems with Program Synthesis						low	The custom symbolic executor synthesizes machine-dependent OS assembly against ISA semantics; its product and executed artifact are software, not a hardware design.	https://arxiv.org/abs/2204.07167
arxiv:2205.04047	excluded	E6-out-of-scope-artifact	2022	GreyConE: Greybox fuzzing+Concolic execution guided test generation for high level design						low	GreyConE concolically executes compiled SystemC/HLS-oriented source, but the paper neither models hardware timing/scheduling nor validates a semantic relation to generated hardware, so intended synthesis is insufficient.	https://arxiv.org/abs/2205.04047
arxiv:2205.10962	excluded	E7-secondary-or-insubstantial	2022	Digital Twin for Secure Semiconductor Lifecycle Management: Prospects and Applications						low	The paper discusses prospects and applications of semiconductor-lifecycle digital twins rather than contributing a concrete symbolic-execution method.	https://arxiv.org/abs/2205.10962
arxiv:2208.03528	excluded	E1-software-or-firmware-only	2022	MetaEmu: An Architecture Agnostic Rehosting Framework for Automotive Firmware						low	MetaEmu rehosts automotive firmware, leaving the hardware platform as an emulation target rather than a symbolic design model.	https://arxiv.org/abs/2208.03528
arxiv:2210.01075	excluded	E1-software-or-firmware-only	2022	Decompiling x86 Deep Neural Network Executables						low	BTD symbolically executes compiled x86 DNN software to infer model parameters; heterogeneous hardware is only the deployment platform.	https://arxiv.org/abs/2210.01075
arxiv:2210.07990	excluded	E7-secondary-or-insubstantial	2022	Metaverse: Survey, Applications, Security, and Opportunities						low	The metaverse survey is secondary literature outside hardware verification.	https://arxiv.org/abs/2210.07990
arxiv:2211.13526	excluded	E1-software-or-firmware-only	2022	Specognitor: Identifying Spectre Vulnerabilities via Prediction-Aware Symbolic Execution						low	Specognitor symbolically executes cryptographic programs under a branch-prediction model; processor families are environmental semantics, not design artifacts under verification.	https://arxiv.org/abs/2211.13526
arxiv:2302.06675	excluded	E6-out-of-scope-artifact	2023	Symbolic Discovery of Optimization Algorithms						low	Symbolic discovery of optimization algorithms concerns algorithm synthesis, not digital hardware.	https://arxiv.org/abs/2302.06675
arxiv:2302.12241	excluded	E8-duplicate-or-superseded	2023	Sequence-Based Incremental Concolic Testing of RTL Models						low	Duplicate or superseded record for Sequence-Based Incremental Concolic Testing of RTL Models; retained canonical record doi:10.1145/3655621.	https://arxiv.org/abs/2302.12241
arxiv:2303.08256	excluded	E2-formal-hardware-without-execution	2023	Gamora: Graph Learning based Symbolic Reasoning for Large-Scale Boolean Networks						low	Gamora learns graph representations for symbolic reasoning over Boolean networks, but no operational execution of a netlist or other hardware artifact is identified.	https://arxiv.org/abs/2303.08256
arxiv:2304.05445	excluded	E8-duplicate-or-superseded	2023	Countering the Path Explosion Problem in the Symbolic Execution of Hardware Designs						low	Duplicate or superseded record for Countering the Path Explosion Problem in the Symbolic Execution of Hardware Designs; retained canonical record doi:10.34727/2023/isbn.978-3-85448-060-0_19.	https://arxiv.org/abs/2304.05445
arxiv:2304.08848	excluded	E1-software-or-firmware-only	2023	Forward Symbolic Execution for Trustworthy Automation of Binary Code Verification						low	The HOL4 executor runs BIR representations of RISC-V and ARM binaries; processors supply timing context, but no hardware design model participates symbolically.	https://arxiv.org/abs/2304.08848
arxiv:2305.17869	excluded	E1-software-or-firmware-only	2023	Automatic Detection, Validation and Repair of Race Conditions in Interrupt-Driven Embedded Software						low	SDRacer uses symbolic execution to generate inputs for interrupt-driven C programs and concrete virtual platforms for validation; the hardware is not itself symbolic.	https://arxiv.org/abs/2305.17869
arxiv:2307.11884	excluded	E8-duplicate-or-superseded	2023	Augmented Symbolic Execution for Information Flow in Hardware Designs						low	Duplicate or superseded record for Augmented Symbolic Execution for Information Flow in Hardware Designs; retained canonical record doi:10.1145/3623652.3623666.	https://arxiv.org/abs/2307.11884
arxiv:2308.11042	excluded	E7-secondary-or-insubstantial	2023	Unlocking Hardware Security Assurance: The Potential of LLMs						low	The paper discusses the potential of LLMs for hardware security assurance rather than contributing an operational symbolic-execution method.	https://arxiv.org/abs/2308.11042
arxiv:2309.03376	excluded	E7-secondary-or-insubstantial	2023	This is How You Lose the Transient Execution War						low	This transient-execution position paper analyzes the attack/defense landscape rather than contributing a primary hardware symbolic executor.	https://arxiv.org/abs/2309.03376
arxiv:2309.08002	excluded	E2-formal-hardware-without-execution	2023	HIVE: Scalable Hardware-Firmware Co-Verification using Scenario-based Decomposition and Automated Hint Extraction						low	HIVE decomposes hardware–firmware co-verification scenarios and extracts hints, but the record does not show path-wise symbolic execution of the hardware component.	https://arxiv.org/abs/2309.08002
arxiv:2310.06046	excluded	E7-secondary-or-insubstantial	2023	LLM for SoC Security: A Paradigm Shift						low	The “paradigm shift” discussion of LLMs for SoC security is orientation material, not a primary symbolic executor.	https://arxiv.org/abs/2310.06046
arxiv:2312.01195	excluded	E1-software-or-firmware-only	2023	AIM: Automatic Interrupt Modeling for Dynamic Firmware Analysis						low	AIM symbolically executes MCU firmware in angr and only models interrupt behavior of peripherals; no peripheral or RTL hardware design itself participates symbolically.	https://arxiv.org/abs/2312.01195
arxiv:2402.00684	excluded	E2-formal-hardware-without-execution	2024	An Investigation of Hardware Security Bug Characteristics in Open-Source Projects						low	This primary empirical study classifies OpenTitan security bugs and analyzes fixes; it mentions symbolic execution only as prior technique and contributes no executor.	https://arxiv.org/abs/2402.00684
arxiv:2403.07821	excluded	E1-software-or-firmware-only	2024	Augmenting Interpolation-Based Model Checking with Auxiliary Invariants (Extended Version)						low	The proposed invariant injection is evaluated on C programs in CPAchecker; a hardware-origin interpolation algorithm is background, not a participating digital-design artifact.	https://arxiv.org/abs/2403.07821
arxiv:2405.06840	excluded	E2-formal-hardware-without-execution	2024	MEIC: Re-thinking RTL Debug Automation using LLMs						low	MEIC delegates RTL debug automation to large language models and does not identify a symbolic executor as its diagnosis engine.	https://arxiv.org/abs/2405.06840
arxiv:2405.19948	parked		2024	Scalable Test Generation to Trigger Rare Targets in High-Level Synthesizable IPs for Cloud FPGAs						medium	Strict re-review remains unresolved: Generating inputs that reach rare targets in high-level-synthesizable IP could require concolic path solving through the HLS design, but title-only metadata leaves the generator's mechanism unresolved.	https://arxiv.org/abs/2405.19948
arxiv:2407.07166	excluded	E1-software-or-firmware-only	2024	UEFI Vulnerability Signature Generation using Static and Symbolic Analysis						low	STASE symbolically executes UEFI LLVM bitcode to find firmware vulnerabilities; platform hardware is not symbolic.	https://arxiv.org/abs/2407.07166
arxiv:2407.10424	excluded	E2-formal-hardware-without-execution	2024	CodeV: Empowering LLMs with HDL Generation through Multi-Level Summarization						low	CodeV uses multilevel summarization to improve LLM-generated HDL, but does not execute candidate designs symbolically to establish correctness.	https://arxiv.org/abs/2407.10424
arxiv:2407.12232	excluded	E2-formal-hardware-without-execution	2024	RTL Verification for Secure Speculation Using Contract Shadow Logic						low	Contract shadow logic checks secure speculation at RTL as a property-verification scheme, with no stated operational symbolic execution of processor paths.	https://arxiv.org/abs/2407.12232
arxiv:2408.15128	excluded	E7-secondary-or-insubstantial	2024	Evaluating the Energy Consumption of Machine Learning: Systematic Literature Review and Experiments						low	This systematic review evaluates machine-learning energy use and contributes no hardware symbolic executor.	https://arxiv.org/abs/2408.15128
arxiv:2409.05832	excluded	E7-secondary-or-insubstantial	2024	The Quest to Build Trust Earlier in Digital Design						low	This broad trust-early perspective on digital design does not identify a primary symbolic-execution mechanism.	https://arxiv.org/abs/2409.05832
arxiv:2409.12993	excluded	E2-formal-hardware-without-execution	2024	CraftRTL: High-quality Synthetic Data Generation for Verilog Code Models with Correct-by-Construction Non-Textual Representations and Targeted Code Repair						low	CraftRTL builds correct-by-construction representations and repairs Verilog training examples, but does not use symbolic execution to verify their behavior.	https://arxiv.org/abs/2409.12993
arxiv:2411.16238	excluded	E2-formal-hardware-without-execution	2024	UVLLM: An Automated Universal RTL Verification Framework using LLMs						low	UVLLM uses language models to automate general RTL-verification tasks, but the available record identifies no symbolic or concolic execution engine.	https://arxiv.org/abs/2411.16238
arxiv:2412.07822	excluded	E2-formal-hardware-without-execution	2024	MAGE: A Multi-Agent Engine for Automated RTL Code Generation						low	MAGE generates RTL with multiple agents; code generation and ordinary validation are not hardware symbolic execution.	https://arxiv.org/abs/2412.07822
arxiv:2412.08769	excluded	E2-formal-hardware-without-execution	2024	Security Properties for Open-Source Hardware Designs						low	The work formulates security properties for open-source hardware designs but does not identify operational symbolic execution as the verification method.	https://arxiv.org/abs/2412.08769
arxiv:2412.13374	excluded	E2-formal-hardware-without-execution	2024	Accelerating Hardware Verification with Graph Models						low	Graph models are used to accelerate hardware verification, but the record does not state operational symbolic execution of a hardware design.	https://arxiv.org/abs/2412.13374
arxiv:2412.20992	excluded	E1-software-or-firmware-only	2024	Verified Lifting of Deep learning Operators						low	The framework symbolically executes low-level Triton deep-learning operators to lift software semantics, not hardware RTL.	https://arxiv.org/abs/2412.20992
arxiv:2503.14135	excluded	E1-software-or-firmware-only	2025	Trustworthy Verification of RISC-V Binaries Using Symbolic Execution in HolBA						low	HolBA forward-symbolically executes RISC-V binaries in an intermediate language; it verifies machine code, not the processor design.	https://arxiv.org/abs/2503.14135
arxiv:2503.15825	excluded	E1-software-or-firmware-only	2025	Efficient Symbolic Execution of Software under Fault Attacks						low	The abstract symbolically executes transformed software under modeled fault attacks; physical faults do not make the hardware design symbolic.	https://arxiv.org/abs/2503.15825
arxiv:2504.00263	excluded	E6-out-of-scope-artifact	2025	GOL in GOL in HOL: Verified Circuits in Conway's Game of Life						low	The symbolically simulated circuits are constructions inside Conway's Game of Life, an artificial cellular automaton rather than a digital hardware design.	https://arxiv.org/abs/2504.00263
arxiv:2505.13452	excluded	E1-software-or-firmware-only	2025	Large Language Model Powered Symbolic Execution						low	AutoBug uses LLMs for path-based analysis of general program code; the hardware mentioned is only compute infrastructure.	https://arxiv.org/abs/2505.13452
arxiv:2507.09539	excluded	E1-software-or-firmware-only	2025	Bounded Model Checking of RISC-V Machine Code with Context-Free-Language Ordered Binary Decision Diagrams						low	The abstract explicitly targets RISC-V machine-code software with bounded model checking, contrasting it with hardware reasoning rather than executing hardware.	https://arxiv.org/abs/2507.09539
arxiv:2508.06643	excluded	E7-secondary-or-insubstantial	2025	Symbolic Execution in Practice: A Survey of Applications in Vulnerability, Malware, Firmware, and Protocol Analysis						low	This is explicitly a survey of symbolic-execution applications rather than a primary technical contribution.	https://arxiv.org/abs/2508.06643
arxiv:2508.14414	parked		2025	Wit-HW: Bug Localization in Hardware Design Code via Witness Test Case Generation						medium	Strict re-review remains unresolved: Witness test-case generation for localizing hardware-code bugs could be driven by symbolic execution, but the title-only record does not disclose the mechanism.	https://arxiv.org/abs/2508.14414
arxiv:2509.05504	excluded	E8-duplicate-or-superseded	2025	Comparing Methods for the Cross-Level Verification of SystemC Peripherals with Symbolic Execution						low	Duplicate or superseded record for Comparing Methods for the Cross-Level Verification of SystemC Peripherals with Symbolic Execution; retained canonical record doi:10.1109/tcad.2025.3641038.	https://arxiv.org/abs/2509.05504
arxiv:2510.11045	excluded	E1-software-or-firmware-only	2025	On the Potential of Quantum Computing in Classical Program Analysis						low	QEX synthesizes quantum circuits as an analysis engine for classical programs; those circuits are tooling used to analyze software, not hardware designs under verification.	https://arxiv.org/abs/2510.11045
arxiv:2511.06067	excluded	E2-formal-hardware-without-execution	2025	Automating Hardware Design and Verification from Architectural Papers via a Neural-Symbolic Graph Framework						low	ArchCraft uses neural-symbolic graphs to generate and conventionally verify RTL; its symbols specify designs rather than execute hardware paths symbolically.	https://arxiv.org/abs/2511.06067
arxiv:2601.13864	excluded	E7-secondary-or-insubstantial	2026	HardSecBench: Benchmarking the Security Awareness of LLMs for Hardware Code Generation						low	HardSecBench benchmarks LLM security awareness on Verilog and firmware tasks using executable tests, but contributes no symbolic hardware-execution method.	https://arxiv.org/abs/2601.13864
arxiv:2602.02243	excluded	E1-software-or-firmware-only	2026	SysFuSS: System-Level Firmware Fuzzing with Selective Symbolic Execution						low	SysFuSS symbolically executes embedded firmware after system-level fuzzing; the emulated hardware does not itself become symbolic.	https://arxiv.org/abs/2602.02243
arxiv:2603.10608	excluded	E1-software-or-firmware-only	2026	An Approach for Safe and Secure Software Protection Supported by Symbolic Execution						low	Symbolic execution is used to verify PUF-bound industrial-control software; the PUF is a concrete binding primitive rather than a symbolically executed hardware design model.	https://arxiv.org/abs/2603.10608
arxiv:2603.11489	deep-read		2026	AutoVeriFix+: High-Correctness RTL Generation via Trace-Aware Causal Fix and Semantic Redundancy Pruning	core	rtl	concolic	functional	experiment	critical	AutoVeriFix+ records cycle-accurate RTL paths, constructs and negates cumulative branch constraints, solves them with SMT, and replays directed vectors inside its repair loop.	https://arxiv.org/abs/2603.11489
arxiv:2603.17613	excluded	E2-formal-hardware-without-execution	2026	VeriAgent: A Tool-Integrated Multi-Agent System with Evolving Memory for PPA-Aware RTL Code Generation						low	VeriAgent iteratively generates and optimizes Verilog with EDA feedback; “execution trajectories” describe the agent workflow, not symbolic RTL paths.	https://arxiv.org/abs/2603.17613
arxiv:2603.24595	excluded	E1-software-or-firmware-only	2026	Model2Kernel: Model-Aware Symbolic Execution For Safe CUDA Kernels						low	Model2Kernel symbolically executes CUDA software kernels; GPUs are the execution platform, not the design artifact under analysis.	https://arxiv.org/abs/2603.24595
arxiv:2605.21810	excluded	E2-formal-hardware-without-execution	2026	Trace2Skill: Verifier-Guided Skill Evolution for Long-Context EDA Agents						low	Trace2Skill evolves natural-language policies for an RTL-editing agent using verifier feedback, but does not execute Verilog designs symbolically.	https://arxiv.org/abs/2605.21810
arxiv:2605.22058	excluded	E1-software-or-firmware-only	2026	Finding Missing Input Validation in TEEs via LLM-Assisted Symbolic Execution						low	SymTEE symbolically executes KLEE-compatible harnesses derived from TEE application code; hardware isolation is mocked context, not a symbolic design participant.	https://arxiv.org/abs/2605.22058
arxiv:2605.28439	excluded	E6-out-of-scope-artifact	2026	Compile-Time Simplification of Classically Controlled Operations in Dynamic Circuits						low	The abstract symbolically executes dynamic quantum circuits, which the protocol explicitly excludes as a non-digital-hardware circuit meaning.	https://arxiv.org/abs/2605.28439
arxiv:2606.17128	excluded	E6-out-of-scope-artifact	2026	Shift-Left High-Level Synthesis Verification via Knowledge-Augmented LLM Agent						low	The shift-left framework symbolically executes high-level source specifications without establishing hardware execution semantics or a validated relation to generated RTL.	https://arxiv.org/abs/2606.17128
arxiv:2607.07926	excluded	E1-software-or-firmware-only	2026	KS-CFA: Control-Flow Attestation via Symbolic Replay Against Control-Flow Bending Attacks						low	KS-CFA performs single-path symbolic replay of reported program control flow; the TEE, QEMU, and FPGA are concrete hosts for software attestation.	https://arxiv.org/abs/2607.07926
arxiv:2607.08548	excluded	E6-out-of-scope-artifact	2026	An Effective Quantum Hoare Logic for Hybrid Quantum Programs with Unbounded Loops						low	The method analyzes hybrid quantum programs with path-sums and Hoare logic, so its circuits/programs belong to quantum rather than classical digital hardware.	https://arxiv.org/abs/2607.08548
arxiv:2607.09059	excluded	E6-out-of-scope-artifact	2026	ARCANA: A Reflective Multi-Agent Program Synthesis Framework for ARC-AGI-2 Reasoning						low	ARCANA's symbolic executor runs candidate DSL programs for abstract grid transformations, not digital hardware designs.	https://arxiv.org/abs/2607.09059
arxiv:2608.01045	excluded	E3-symbolic-method-without-path-execution	2026	Forbench: Symbolic Simulation Helps Make Your Testbench More Formal						low	Forbench performs solver-backed merged symbolic simulation of clocked RTL; it does not maintain path-conditioned executions whose feasibility selects or generates another execution.	https://arxiv.org/abs/2608.01045
arxiv:2608.04036	excluded	E4-analog-physical-or-postsilicon	2026	A Symbolic Execution Framework for Symbolic Timing Analysis of Digital Integrated Circuits						low	The framework targets physical-delay and timing-path analysis of integrated circuits rather than functional execution of an HDL or HLS design artifact.	https://arxiv.org/abs/2608.04036
doi:10.1002/0471786411	excluded	E7-secondary-or-insubstantial	2006	RTL Hardware Design Using VHDL						low	The VHDL RTL hardware-design textbook is secondary instructional material rather than a primary verification contribution.	https://doi.org/10.1002/0471786411
doi:10.1002/0471786411.ch1	excluded	E7-secondary-or-insubstantial	2006	Introduction to Digital System Design						low	This introductory VHDL textbook chapter teaches digital-system design fundamentals and contains no primary symbolic-execution research.	https://doi.org/10.1002/0471786411.ch1
doi:10.1002/0471786411.ch10	excluded	E7-secondary-or-insubstantial	2006	Finite State Machine: Principle and Practice						low	This FSM principles-and-practice textbook chapter is instructional rather than primary research.	https://doi.org/10.1002/0471786411.ch10
doi:10.1002/0471786411.ch11	excluded	E7-secondary-or-insubstantial	2006	Register Transfer Methodology: Principle						low	The register-transfer-methodology chapter is VHDL textbook instruction and does not originate a symbolic execution technique.	https://doi.org/10.1002/0471786411.ch11
doi:10.1002/0471786411.ch12	excluded	E7-secondary-or-insubstantial	2006	Register Transfer Methodology: Practice						low	This textbook chapter covers practical register-transfer design methodology, not a primary symbolic-execution system.	https://doi.org/10.1002/0471786411.ch12
doi:10.1002/0471786411.ch13	excluded	E7-secondary-or-insubstantial	2006	Hierarchical Design in VHDL						low	This VHDL hierarchical-design chapter is instructional material.	https://doi.org/10.1002/0471786411.ch13
doi:10.1002/0471786411.ch14	excluded	E7-secondary-or-insubstantial	2006	Parameterized Design: Principle						low	This textbook chapter explains parameterized design principles rather than contributing a primary verification method.	https://doi.org/10.1002/0471786411.ch14
doi:10.1002/0471786411.ch15	excluded	E7-secondary-or-insubstantial	2006	Parameterized Design: Practice						low	The parameterized-design practice chapter is instructional rather than primary research.	https://doi.org/10.1002/0471786411.ch15
doi:10.1002/0471786411.ch16	excluded	E7-secondary-or-insubstantial	2006	Clock and Synchronization: Principle and Practice						low	The textbook chapter teaches clocking and synchronization practice in VHDL design and does not originate a qualifying symbolic-analysis method.	https://doi.org/10.1002/0471786411.ch16
doi:10.1002/0471786411.ch2	excluded	E7-secondary-or-insubstantial	2006	Overview of Hardware Description Languages						low	This overview chapter on HDLs is secondary instructional material.	https://doi.org/10.1002/0471786411.ch2
doi:10.1002/0471786411.ch3	excluded	E7-secondary-or-insubstantial	2006	Basic Language Constructs of VHDL						low	This is an instructional book chapter on basic VHDL language constructs, not a primary symbolic-execution contribution.	https://doi.org/10.1002/0471786411.ch3
doi:10.1002/0471786411.ch4	excluded	E7-secondary-or-insubstantial	2006	Concurrent Signal Assignment Statements of VHDL						low	This instructional VHDL chapter explains concurrent signal assignment rather than contributing symbolic execution.	https://doi.org/10.1002/0471786411.ch4
doi:10.1002/0471786411.ch5	excluded	E7-secondary-or-insubstantial	2006	Sequential Statements of VHDL						low	A chapter on sequential VHDL statements provides language instruction and no primary symbolic verifier.	https://doi.org/10.1002/0471786411.ch5
doi:10.1002/0471786411.ch6	excluded	E7-secondary-or-insubstantial	2006	Synthesis Of VHDL Code						low	This textbook chapter teaches synthesis of VHDL code and contains no primary symbolic-execution contribution.	https://doi.org/10.1002/0471786411.ch6
doi:10.1002/0471786411.ch7	excluded	E7-secondary-or-insubstantial	2006	Combinational Circuit Design: Practice						low	The combinational-circuit practice chapter is instructional VHDL design material, not a research contribution in symbolic execution.	https://doi.org/10.1002/0471786411.ch7
